21_JUMP_STREET.srt 	21_JUMP_STREET_DVS150 	00:23:42,00 --> 00:23:47,50 	he kisses her, then sees the newcomers.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS228 	00:47:52,00 --> 00:47:57,50 	someone joyfully kisses his cheek.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS484 	01:38:45,00 --> 01:38:55,50 	he kisses the boy's neck.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS140 	00:23:21,00 --> 00:23:26,50 	and kisses someone passionately.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS193 	00:34:14,00 --> 00:34:19,50 	beside her car he kisses her.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS284 	00:52:04,00 --> 00:52:10,50 	someone wraps her arms around someone and kisses him on the mouth.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS315 	00:56:58,00 --> 00:57:02,50 	she kisses him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS483 	01:28:52,00 --> 01:28:59,50 	faces on the couch, someone leans close and kisses someone forcefully on the mouth.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS485 	01:29:11,00 --> 01:29:16,50 	she kisses him, then frowns.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS558 	01:42:01,00 --> 01:42:08,50 	in a sunny park, someone pulls someone close and they kiss passionately,
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS37 	00:08:29,00 --> 00:08:35,50 	the wavy haired man pulls his wife across the patio and kisses her.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS45 	00:10:49,00 --> 00:10:54,50 	as they kiss, someone jumps on the bed.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS63 	00:15:04,00 --> 00:15:11,50 	she kisses each of them on the cheeks leaving huge lipstick marks.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS88 	00:23:38,00 --> 00:23:43,50 	someone kisses her and faces the driver.
PROMETHEUS.srt 	PROMETHEUS_DVS274 	00:26:26,00 --> 00:26:30,50 	holloway kisses someone's head.
PROMETHEUS.srt 	PROMETHEUS_DVS519 	00:57:36,00 --> 00:57:41,50 	sitting on his lap she kisses him.
PROMETHEUS.srt 	PROMETHEUS_DVS528 	00:58:54,00 --> 00:58:58,50 	he kisses her.
PROMETHEUS.srt 	PROMETHEUS_DVS536 	00:59:27,00 --> 00:59:32,50 	holloway leans down again and kisses her hungrily.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS74 	00:12:39,00 --> 00:12:47,50 	he kisses her cheek.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS186 	00:35:40,00 --> 00:36:03,50 	another flash shows someone kiss her mouth.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS181 	00:43:38,00 --> 00:43:42,50 	he kisses her, but she bites him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS204 	00:34:11,00 --> 00:34:17,50 	someone kisses her again.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS221 	00:35:08,00 --> 00:35:13,50 	later, he deeps dips her and they kiss.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS289 	00:45:50,00 --> 00:45:56,50 	they share a loving gaze then kiss passionately.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS322 	00:52:31,00 --> 00:52:35,50 	someone kisses her hand.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS347 	00:56:43,00 --> 00:56:47,50 	he kisses someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS351 	00:57:13,00 --> 00:57:20,50 	someone kisses someone's mother on the head and goes.
SALT.srt 	SALT_DVS25 	00:04:58,00 --> 00:05:07,50 	the dog eyes her as she hugs her husband from behind then leans over his shoulder and kisses him on his lips and forehead.
SALT.srt 	SALT_DVS61 	00:12:56,00 --> 00:13:01,50 	the children kiss his ring.
SALT.srt 	SALT_DVS229 	00:39:20,00 --> 00:39:44,50 	they kiss and wrestle playfully.
SALT.srt 	SALT_DVS245 	00:42:05,00 --> 00:42:26,50 	someone leans close and kisses the top of her blonde head.
SALT.srt 	SALT_DVS275 	00:48:20,00 --> 00:48:35,50 	the u.s. president kisses his wife then treads forward and tenderly lays his hand on the casket.
SALT.srt 	SALT_DVS329 	00:58:57,00 --> 00:59:03,50 	young someone halts on his way out and she kisses his ring.
SALT.srt 	SALT_DVS339 	01:00:30,00 --> 01:00:38,50 	she kisses his ring.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS394 	00:26:12,00 --> 00:26:17,50 	closing his eyes, he gently kisses and caresses her foot.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS396 	00:26:24,00 --> 00:26:28,50 	he kisses her instep again.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS447 	01:35:07,00 --> 01:35:25,50 	he kisses her, sucking a fine cloud of dust into his nose and someone's face, briefly appears in the particle stream.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS482 	01:42:02,00 --> 01:42:07,50 	someone kisses her again.
SOUL_SURFER.srt 	SOUL_SURFER_DVS50 	00:16:20,00 --> 00:16:25,50 	they kiss in someone's room.
SPARKLE_2012.srt 	SPARKLE_2012_DVS115 	00:18:45,00 --> 00:18:56,50 	a couple kisses in the shadows.
SPARKLE_2012.srt 	SPARKLE_2012_DVS131 	00:21:29,00 --> 00:21:33,50 	she closes her eyes as he kisses her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS330 	00:54:00,00 --> 00:54:10,50 	sister kisses him tenderly.
SPARKLE_2012.srt 	SPARKLE_2012_DVS330 	00:54:00,00 --> 00:54:10,50 	as their embrace intensifies, they passionately kiss each other's necks.
SPARKLE_2012.srt 	SPARKLE_2012_DVS401 	01:08:02,00 --> 01:08:10,50 	he snaps a picture of her, then saunters over in his burgundy robe and kisses her on the cheek.
SPARKLE_2012.srt 	SPARKLE_2012_DVS406 	01:08:41,00 --> 01:08:46,50 	she kisses him.
SPARKLE_2012.srt 	SPARKLE_2012_DVS602 	01:39:06,00 --> 01:39:10,50 	he cradles her face in his hands, and tenderly kisses her lips.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS44 	00:10:34,00 --> 00:10:46,50 	someone in a negligee and robe, the woman kisses a younger man, then flirtatiously touches his coat lapel.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS297 	00:57:25,00 --> 00:57:30,50 	he presses her up against the door and kisses her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS320 	01:01:39,00 --> 01:01:48,50 	someone puts his arm around her and kisses her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS368 	01:12:22,00 --> 01:12:28,50 	someone kisses him and drapes her arms around his shoulders.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS394 	01:15:39,00 --> 01:15:58,50 	someone kisses her again.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS74 	00:14:30,00 --> 00:14:35,50 	he kisses him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS214 	00:43:20,00 --> 00:43:34,50 	he kisses it and the elevator closes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS565 	01:41:38,00 --> 01:41:42,50 	she kisses someone's cheek.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS586 	01:45:57,00 --> 01:46:02,50 	they kiss passionately.
THE_CALL.srt 	THE_CALL_DVS934 	01:11:39,00 --> 01:11:45,50 	at the end of the stack, she finds a photo of the boy kissing his sister.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS248 	00:38:42,00 --> 00:38:46,50 	he kisses her cheek.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS597 	01:28:00,00 --> 01:28:04,50 	he kisses the top of her head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS757 	01:45:08,00 --> 01:45:15,50 	he kisses her temple, then stands aside as she crosses to someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS195 	00:24:36,00 --> 00:24:42,50 	he steps near to kiss her but she looks away.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS195 	00:24:36,00 --> 00:24:42,50 	he kisses her cheek instead.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS638 	01:09:34,00 --> 01:09:39,50 	someone gives her a big hug and kisses her cheek.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS682 	01:15:55,00 --> 01:16:01,50 	later, holding a vial she doses someone then kisses her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS684 	01:16:02,00 --> 01:16:08,50 	feels up her bare thigh to her crotch and kisses her cheek.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS888 	01:39:04,00 --> 01:39:11,50 	they kiss and then she moves her mouth lower and bites his nipple.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS895 	01:39:34,00 --> 01:39:38,50 	he kisses her.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS261 	01:27:19,00 --> 01:27:24,50 	she pulls someone close and kisses him.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS270 	01:30:28,00 --> 01:30:34,50 	she kisses him on the cheek and smiles to herself, holding back tears.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS264 	01:41:09,00 --> 01:41:18,50 	grinning after him, someone kisses his fingers, flips off the building with both hands and returns to his suv.
THE_VOW.srt 	THE_VOW_DVS35 	00:02:45,00 --> 00:02:49,50 	the couple kisses passionately.
THE_VOW.srt 	THE_VOW_DVS103 	00:09:56,00 --> 00:10:00,50 	she kisses someone.
THE_VOW.srt 	THE_VOW_DVS132 	00:14:08,00 --> 00:14:15,50 	as they kiss, she lies back on the floor, pulling him down on top of her.
THE_VOW.srt 	THE_VOW_DVS190 	00:21:33,00 --> 00:21:37,50 	someones mother kisses her hand.
THE_VOW.srt 	THE_VOW_DVS356 	00:49:03,00 --> 00:49:08,50 	as they inch apart, someone cradles the back of his head and they kiss.
THE_VOW.srt 	THE_VOW_DVS364 	00:49:59,00 --> 00:50:04,50 	he kisses her cheek, which unsettles her.
THE_VOW.srt 	THE_VOW_DVS488 	01:09:08,00 --> 01:09:13,50 	he blows on her fingers then kisses them tenderly.
THE_VOW.srt 	THE_VOW_DVS495 	01:09:46,00 --> 01:09:51,50 	standing in their underwear, they kiss again.
THE_VOW.srt 	THE_VOW_DVS534 	01:14:08,00 --> 01:14:13,50 	she laughs delightedly and he kisses her cheek.
THE_WATCH.srt 	THE_WATCH_DVS130 	00:21:52,00 --> 00:21:56,50 	she kisses him.
THE_WATCH.srt 	THE_WATCH_DVS231 	00:42:24,00 --> 00:42:30,50 	a video still shows her kissing a boy.
THE_WATCH.srt 	THE_WATCH_DVS380 	01:07:29,00 --> 01:07:37,50 	in a bedroom, someone rubs chelsea's lower stomach as they kiss.
THE_WATCH.srt 	THE_WATCH_DVS435 	01:19:38,00 --> 01:19:43,50 	he kisses her forehead and touches her face.
THE_WATCH.srt 	THE_WATCH_DVS471 	01:25:19,00 --> 01:25:23,50 	someone kisses her husband.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS81 	00:25:23,00 --> 00:25:27,50 	he kisses her cheek.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS167 	00:42:51,00 --> 00:42:58,50 	now at someone's apartment, someone kisses her neck as she takes off his belt.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS170 	00:43:12,00 --> 00:43:19,50 	she kisses him passionately.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS193 	00:46:24,00 --> 00:46:29,50 	he kisses her, then lowers himself on top of her.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS311 	01:20:46,00 --> 01:20:49,50 	she kisses him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS326 	01:22:24,00 --> 01:22:30,50 	he kisses her, then runs his tongue along her knee.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS332 	01:22:49,00 --> 01:22:53,50 	they kiss.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS337 	01:24:04,00 --> 01:24:09,50 	now someone kisses someone outside the ritz.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS351 	01:26:47,00 --> 01:26:53,50 	she wraps her arms around his neck and kisses him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS360 	01:28:24,00 --> 01:28:30,50 	kissing her, he backs her up against a dresser and knocks over a lamp.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS396 	01:34:18,00 --> 01:34:23,50 	he kisses the top of her head, then leaves.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS480 	01:48:07,00 --> 01:48:13,50 	someone steps forward and kisses her.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS492 	01:50:10,00 --> 01:50:14,50 	they kiss.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS520 	01:54:56,00 --> 01:55:00,50 	he cups her face and kisses her.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS51 	00:07:14,00 --> 00:07:18,50 	she watches them kiss.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS64 	00:10:40,00 --> 00:10:44,50 	an older gentleman kisses her.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS154 	00:29:59,00 --> 00:30:04,50 	as someone lies on his back, someone kisses him.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS158 	00:30:17,00 --> 00:30:26,50 	at home by a fireplace, someone kisses a half-naked man lying on his back near an open bottle of red wine.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS186 	00:34:59,00 --> 00:35:04,50 	someone and someone watch them kiss again.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS271 	00:50:47,00 --> 00:50:52,50 	it depicts a man kissing a woman's face.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS310 	00:57:30,00 --> 00:57:38,50 	as they kiss, a monitor in the cia surveillance room shows their glowing heat signature.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS316 	00:58:08,00 --> 00:58:15,50 	an old dog wheezes on his couch as they stop and kiss.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS354 	01:04:16,00 --> 01:04:33,50 	kissing hungrily as they remove their coats.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS356 	01:04:39,00 --> 01:04:51,50 	as someone and someone lie kissing on the kitchen island, the picture fades to black.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS402 	01:12:00,00 --> 01:12:06,50 	he kisses her neck.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS495 	01:26:01,00 --> 01:26:10,50 	he stands and they kiss each other's cheeks.
THOR.srt 	THOR_DVS308 	00:44:51,00 --> 00:44:57,50 	someone flinches as someone takes her hand and kisses it.
THOR.srt 	THOR_DVS602 	01:32:04,00 --> 01:32:12,50 	someone inches closer, then glances down as someone takes her hand and kisses it.
THOR.srt 	THOR_DVS604 	01:32:14,00 --> 01:32:20,50 	someone grabs his face and kisses him passionately.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS54 	00:06:49,00 --> 00:06:53,50 	he smiles and they kiss.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS74 	00:09:29,00 --> 00:09:34,50 	the woman kisses her cheek, then glares at someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS212 	00:27:41,00 --> 00:27:45,50 	she leans in and they kiss.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS512 	00:56:51,00 --> 00:56:56,50 	someone kisses someone, then gives him a hug.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS833 	01:28:34,00 --> 01:28:39,50 	he hugs her again and kisses her cheek.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS896 	01:34:36,00 --> 01:34:45,50 	as someone grins on stage, someone draws someone and someone close, kisses the little girl's head, and points at someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS898 	01:34:45,00 --> 01:34:49,50 	he kisses someone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS219 	00:19:48,00 --> 00:19:53,50 	someone kisses someone passionately.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS239 	00:22:50,00 --> 00:22:56,50 	she flips open the lid of a pastry box and kisses his cheek.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS375 	00:44:48,00 --> 00:44:55,50 	as someone watches from the bush, someone turns away, but someone grabs her arm and kisses her.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS553 	01:13:55,00 --> 01:14:00,50 	they hug again and kiss each other on the cheek.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS555 	01:14:02,00 --> 01:14:12,50 	he and someone grab each other in a passionate embrace and kiss hungrily.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS566 	01:15:10,00 --> 01:15:14,50 	he steps inside and kisses her.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS621 	01:32:28,00 --> 01:32:33,50 	the next shows someone kissing his cheek.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS800 	01:53:19,00 --> 01:53:24,50 	he kisses her and she closes her eyes.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS324 	00:46:14,00 --> 00:46:19,50 	their mother arrives and kisses someone's cheek.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS325 	00:46:18,00 --> 00:46:22,50 	she kisses someone and strokes her hair.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS470 	01:06:03,00 --> 01:06:07,50 	they kiss, wrapping their arms around each other.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS476 	01:07:01,00 --> 01:07:05,50 	then he kisses her again.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS500 	01:11:03,00 --> 01:11:07,50 	he kisses her shoulder.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS566 	01:17:18,00 --> 01:17:22,50 	he kisses jacinda.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS641 	01:28:52,00 --> 01:28:57,50 	someone's mother beckons someone and kisses his cheek.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS642 	01:29:27,00 --> 01:29:33,50 	the bride beams and her husband tenderly kisses her bare shoulder.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS806 	01:12:55,00 --> 01:13:00,50 	someone gratefully kisses someone's blonde head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS983 	01:30:09,00 --> 01:30:16,50 	he leans in and kisses her on the lips, then gently raises his hand to her neck.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1320 	01:59:55,00 --> 02:00:00,50 	he kisses the back of her hand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1321 	01:59:58,00 --> 02:00:03,50 	she kisses his forehead, then looks to someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1337 	02:02:36,00 --> 02:02:42,50 	he kisses her lips, then raises his fingers to his temple.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS271 	00:52:30,00 --> 00:52:35,50 	they both lean forward and kiss.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS304 	00:58:21,00 --> 00:58:26,50 	someone' gray-haired father, someone, kisses her.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS367 	01:10:19,00 --> 01:10:24,50 	she tries to kiss him but someone pushes away.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS413 	01:19:24,00 --> 01:19:29,50 	she wraps her legs around him as they kiss.
ZOMBIELAND.srt 	ZOMBIELAND_DVS157 	00:15:56,00 --> 00:16:01,50 	she kisses his cheek and rests her head on his shoulder.
ZOMBIELAND.srt 	ZOMBIELAND_DVS243 	00:25:53,00 --> 00:25:58,50 	the young woman kisses the girl's forehead.
ZOMBIELAND.srt 	ZOMBIELAND_DVS449 	00:51:48,00 --> 00:51:52,50 	he kisses his hand.
ZOMBIELAND.srt 	ZOMBIELAND_DVS703 	01:17:15,00 --> 01:17:20,50 	he twirls his guns then kisses one.
ZOOKEEPER.srt 	ZOOKEEPER_DVS425 	01:33:10,00 --> 01:33:19,50 	she kisses someone then wraps her arms around his neck and kisses him again.
ZOOKEEPER.srt 	ZOOKEEPER_DVS425 	01:33:10,00 --> 01:33:19,50 	she kisses someone then wraps her arms around his neck and kisses him again.
