21_JUMP_STREET.srt 	21_JUMP_STREET_DVS126 	00:20:35,00 --> 00:20:43,50 	in the morning, someone and someone wake to find someone's father using an elliptical machine at their feet.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS582 	01:04:22,00 --> 01:04:33,50 	someone uses a drill gun to screw the zip ties around his ankles to the floor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1138 	01:58:56,00 --> 01:59:08,50 	now, someone uses a cable and harness with armpit straps and a neck brace to hoist up his captive in the white tiled area.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1157 	02:02:25,00 --> 02:02:29,50 	he uses hand sanitizer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1176 	02:05:34,00 --> 02:05:43,50 	then uses the utility knife to tear open his undershirt, exposing the helpless man's chest.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1273 	02:13:47,00 --> 02:13:54,50 	now in a hotel, someone joins someone on a bed where she uses her laptop.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS59 	00:16:51,00 --> 00:16:57,50 	using a phone number off of an east coast offices search result,
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS122 	00:38:28,00 --> 00:38:33,50 	a woman sitting beside someone uses her laptop.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS221 	01:29:14,00 --> 01:29:17,50 	someone uses a phone.
THE_WATCH.srt 	THE_WATCH_DVS33 	00:04:54,00 --> 00:05:01,50 	using a forklift, he sets a recliner chair down in front of a wall of flat screen televisions.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS17 	00:02:48,00 --> 00:02:54,50 	using the captured guard as a shield, someone advances.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS323 	00:58:49,00 --> 00:59:01,50 	holding a tranquilizer rifle, his partner communicates with him using military hand signals then disappears.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS427 	01:16:52,00 --> 01:16:57,50 	she rests from using her fitness ball.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS437 	01:18:08,00 --> 01:18:14,50 	someone uses the pole to ram someone backward through a glass partition.
THOR.srt 	THOR_DVS335 	00:49:53,00 --> 00:49:58,50 	back on earth, someone uses a library computer.
THOR.srt 	THOR_DVS474 	01:17:53,00 --> 01:18:00,50 	on a rooftop across the street from the lab, shield agents use binoculars and listening equipment.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS278 	00:34:32,00 --> 00:34:37,50 	using the lit tip of his wand, he searches under the pillow.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS443 	00:46:52,00 --> 00:46:59,50 	later, in someone's living room, they play cards and use cheese puffs as betting chips.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS499 	00:54:19,00 --> 00:54:23,50 	the woman uses her phone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS605 	01:06:05,00 --> 01:06:15,50 	at the obstacle course, someone mimes using invisibility spray then amnesia dust.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS312 	00:32:59,00 --> 00:33:04,50 	he stands, using a nurse station phone.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS481 	00:58:39,00 --> 00:58:48,50 	now in the sf saloon and grill, someone uses her cell.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS311 	00:50:12,00 --> 00:50:22,50 	as a flashy black pickup passes on a nearby road, she uses a walkie-	talkie.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS496 	01:16:57,00 --> 01:17:01,50 	someone uses his radio.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS658 	01:36:41,00 --> 01:36:50,50 	someone uses a leaf 	blower.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS752 	01:47:32,00 --> 01:47:38,50 	someone leaves a building and uses her walkie-talkie.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS53 	00:03:57,00 --> 00:04:07,50 	now outside, she uses her cell.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS189 	00:22:32,00 --> 00:22:36,50 	someone uses the peephole.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS518 	01:13:35,00 --> 01:13:39,50 	he uses her cell phone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS193 	00:14:49,00 --> 00:14:55,50 	someone uses the banker's watch to stop his arm, then makes him smack himself.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS270 	00:21:03,00 --> 00:21:08,50 	a gray-haired man uses a phone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS716 	01:04:26,00 --> 01:04:37,50 	strangling a man with his tail, he uses him as a shield against an agent with a gun.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS796 	01:11:34,00 --> 01:11:41,50 	her finger crystallizes and she uses it to cut a circle in the glass.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS866 	01:19:20,00 --> 01:19:29,50 	the boy dives back toward the satellite dish, then uses his sound rings to glide over dish's concave face.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS180 	00:34:39,00 --> 00:34:45,50 	inside, someone wears safety goggles as he uses a blowtorch.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS276 	00:53:21,00 --> 00:53:26,50 	a man using a wheelchair shoots pool.
ZOMBIELAND.srt 	ZOMBIELAND_DVS266 	00:29:28,00 --> 00:29:34,50 	using a rag, he tugs at one of the disembodied appendages.
ZOMBIELAND.srt 	ZOMBIELAND_DVS283 	00:32:11,00 --> 00:32:18,50 	as someone nears the escalade, he finds the word, help, painted on the side, using the 3 as an help.
ZOMBIELAND.srt 	ZOMBIELAND_DVS313 	00:35:20,00 --> 00:35:28,50 	later, he uses a phone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS751 	01:20:41,00 --> 01:20:49,50 	using the end of his gun, someone pushes open the ajar door and peers into a dark room.
