21_JUMP_STREET.srt 	21_JUMP_STREET_DVS396 	01:07:09,00 --> 01:07:16,50 	the window behind her shows someone and his black gay friend furtively carrying a piata.
SUPER_8.srt 	SUPER_8_DVS552 	01:32:51,00 --> 01:32:57,50 	carrying a lit sparkler someone runs into another tunnel.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS84 	00:12:12,00 --> 00:12:19,50 	later that night someone carries a flashlight, as he walks outside the front gate
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS353 	00:54:01,00 --> 00:54:05,50 	the wind carries him away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS375 	00:55:53,00 --> 00:55:59,50 	an updraft lifts someone's parachute and carries him of his feet.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS134 	00:26:59,00 --> 00:27:06,50 	someone's four-inch stiletto heels carry her out to a drop-off area.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS142 	00:27:55,00 --> 00:28:01,50 	she slaps at his back as he carries her to his car.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS121 	00:20:44,00 --> 00:20:50,50 	someone carries a passed out someone down a hallway upstairs.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS213 	00:26:05,00 --> 00:26:10,50 	as he carries his luggage inside, the driver pulls out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS690 	01:16:22,00 --> 01:16:29,50 	someone carries a takeout bag and two coffees up a stairwell.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS10 	00:06:10,00 --> 00:06:20,50 	someone trots alongside a brick wall as he carries a backpack over one shoulder.
THE_VOW.srt 	THE_VOW_DVS215 	00:27:25,00 --> 00:27:33,50 	as he shuts the door and carries their things, someone wrings her hands and ventures warily into the living room.
THE_VOW.srt 	THE_VOW_DVS409 	00:57:01,00 --> 00:57:06,50 	someone carries two bags out.
THE_VOW.srt 	THE_VOW_DVS479 	01:08:19,00 --> 01:08:26,50 	clad in biker briefs, someone grabs her around the waist and carries her back in.
THE_VOW.srt 	THE_VOW_DVS523 	01:13:33,00 --> 01:13:41,50 	in the apartment, someone drops a jacket on a chair and carries a stack of mail to a coffee table.
THE_VOW.srt 	THE_VOW_DVS601 	01:23:37,00 --> 01:23:42,50 	someone closes the box and carries it out.
THE_VOW.srt 	THE_VOW_DVS619 	01:24:50,00 --> 01:24:57,50 	the cats paws rest on someones shoulder, as he carries the animal inside.
THE_WATCH.srt 	THE_WATCH_DVS307 	00:54:25,00 --> 00:54:32,50 	the alien leaps onto a wall, then onto another, carrying someone along.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS116 	00:33:58,00 --> 00:34:03,50 	he grabs his chair as movers carry it off.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS142 	00:28:20,00 --> 00:28:27,50 	someone carries a huge stuffed pig, someone notices her taking hold of his hand.
THOR.srt 	THOR_DVS125 	00:18:19,00 --> 00:18:23,50 	carrying a thick ax on one shoulder,
THOR.srt 	THOR_DVS181 	00:24:11,00 --> 00:24:18,50 	carried by someone, someone looks back as the beast races toward them on four legs.
THOR.srt 	THOR_DVS223 	00:29:55,00 --> 00:30:05,50 	carrying flashlights, they scramble out of the truck.
THOR.srt 	THOR_DVS260 	00:35:33,00 --> 00:35:40,50 	back at the crater, a man carrying a six-pack of beer trudges near two women sitting on a picnic blanket.
THOR.srt 	THOR_DVS442 	01:11:31,00 --> 01:11:36,50 	outside, someone carries someone over one shoulder.
THOR.srt 	THOR_DVS480 	01:18:22,00 --> 01:18:30,50 	on earth, townspeople gawk at someone's friends as they stride up the middle of a street while carrying exposed weapons.
THOR.srt 	THOR_DVS668 	01:39:54,00 --> 01:39:59,50 	the explosion carries someone and someone high into the air.
TRUE_GRIT.srt 	TRUE_GRIT_DVS110 	00:29:01,00 --> 00:29:08,50 	in stonehill's stables, a boy carries someone's saddle and shows her a fine young black horse.
TRUE_GRIT.srt 	TRUE_GRIT_DVS388 	01:18:41,00 --> 01:18:50,50 	someone carries the wooden bucket through the wintry brush, her oversized coat belted up tightly around her waist.
TRUE_GRIT.srt 	TRUE_GRIT_DVS564 	01:39:21,00 --> 01:39:26,50 	as someone carries her away across the plain.
TRUE_GRIT.srt 	TRUE_GRIT_DVS566 	01:39:38,00 --> 01:39:43,50 	someone carry him.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS220 	00:19:57,00 --> 00:20:04,50 	someone laughs as someone heaves his wife over his shoulder and carries her away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS354 	00:41:53,00 --> 00:41:59,50 	he carries drinks.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS88 	00:13:45,00 --> 00:13:51,50 	picking her up, someone carries her into her bedroom.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS358 	00:57:53,00 --> 00:58:03,50 	someone searches with someone, someone, and someone, who carry tranquilizer guns.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS50 	00:03:28,00 --> 00:03:36,50 	the bicyclist steps out, carrying a wok and a toothbrush, then turns back to face the blonde.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS207 	00:26:01,00 --> 00:26:08,50 	now at home, she carries a bottle of wine and a stack of keepsake books.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS273 	00:39:33,00 --> 00:39:39,50 	someone carries his groceries further inside.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS592 	01:20:28,00 --> 01:20:35,50 	now someone's apartment door opens and she steps out carrying a white garment bag.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS390 	00:32:42,00 --> 00:32:49,50 	ahead of the ship, three motorized inflatable boats carry armed soldiers toward the yacht.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1201 	01:47:19,00 --> 01:47:25,50 	the young mutant carries his friend over the water.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS85 	00:12:34,00 --> 00:12:41,50 	someone carries an armful of toiletries into the bathroom and drops them onto the counter.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS295 	00:57:01,00 --> 00:57:06,50 	later, someone carries dolce as she walks through town.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS352 	01:07:47,00 --> 01:07:52,50 	carrying a gift bag, someone climbs the front steps
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS357 	01:08:10,00 --> 01:08:15,50 	carrying a plate of food, someone passes someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS472 	00:55:17,00 --> 00:55:23,50 	they carry someone wrapped in a blanket across a balcony,
