21_JUMP_STREET.srt 	21_JUMP_STREET_DVS76 	00:08:32,00 --> 00:08:41,50 	they face the gang leader.
COLOMBIANA.srt 	COLOMBIANA_DVS380 	00:34:15,00 --> 00:34:24,50 	someone cautiously scans her surroundings as she backs away, then faces a door labeled electrical room.
COLOMBIANA.srt 	COLOMBIANA_DVS419 	00:36:56,00 --> 00:37:03,50 	as the door opens, the unconscious someone sinks to his knees then falls face down.
COLOMBIANA.srt 	COLOMBIANA_DVS429 	00:37:41,00 --> 00:37:47,50 	the hatchet faced criminal hastily opens his gaudy shirt.
COLOMBIANA.srt 	COLOMBIANA_DVS458 	00:40:15,00 --> 00:40:21,50 	someone warren turns away and faces the desk sergeant.
COLOMBIANA.srt 	COLOMBIANA_DVS467 	00:40:59,00 --> 00:41:05,50 	he eyes the markings then faces a tall powerfully built colleague.
COLOMBIANA.srt 	COLOMBIANA_DVS480 	00:42:27,00 --> 00:42:35,50 	facing the cop, the fbi agent aims an imaginary gun and visualizes the murdered criminal.
COLOMBIANA.srt 	COLOMBIANA_DVS505 	00:45:35,00 --> 00:45:40,50 	someone gestures and someone sits facing him.
COLOMBIANA.srt 	COLOMBIANA_DVS555 	00:50:44,00 --> 00:50:51,50 	someone abruptly ends the kiss and faces a stylized portrait of an old man.
COLOMBIANA.srt 	COLOMBIANA_DVS659 	01:01:52,00 --> 01:01:57,50 	someone shakes his head as he turns to face her.
COLOMBIANA.srt 	COLOMBIANA_DVS705 	01:06:22,00 --> 01:06:28,50 	he gazes at food on a nearby table then sits facing her.
COLOMBIANA.srt 	COLOMBIANA_DVS780 	01:15:33,00 --> 01:15:40,50 	the older woman turns to face someone who keeps his gaze fixed forward.
COLOMBIANA.srt 	COLOMBIANA_DVS872 	01:23:02,00 --> 01:23:07,50 	agent someone turns to face them.
COLOMBIANA.srt 	COLOMBIANA_DVS1039 	01:38:00,00 --> 01:38:12,50 	removing her belt, she flips it over her head, wraps it around the back of his neck, and faces him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS70 	00:09:39,00 --> 00:09:46,50 	then faces someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS147 	00:23:55,00 --> 00:24:04,50 	he turns her to face him, and they share a tender kiss.
DEAR_JOHN.srt 	DEAR_JOHN_DVS173 	00:27:42,00 --> 00:27:47,50 	he stops and faces her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS183 	00:29:19,00 --> 00:29:29,50 	someone faces her briefly, then leaves.
DEAR_JOHN.srt 	DEAR_JOHN_DVS206 	00:32:22,00 --> 00:32:32,50 	he turns, facing a window.
DEAR_JOHN.srt 	DEAR_JOHN_DVS207 	00:32:32,00 --> 00:32:41,50 	getting out of her car, someone faces him with an affectionate smirk.
DEAR_JOHN.srt 	DEAR_JOHN_DVS358 	00:55:59,00 --> 00:56:04,50 	someone bows his head and faces her from the side.
DEAR_JOHN.srt 	DEAR_JOHN_DVS359 	00:56:15,00 --> 00:56:20,50 	she looks at him ascant, then faces him fully.
DEAR_JOHN.srt 	DEAR_JOHN_DVS396 	01:01:07,00 --> 01:01:11,50 	he faces his father.
DEAR_JOHN.srt 	DEAR_JOHN_DVS400 	01:01:32,00 --> 01:01:47,50 	as she faces someone, mr.
DEAR_JOHN.srt 	DEAR_JOHN_DVS609 	01:23:48,00 --> 01:23:55,50 	someone gets out and faces the stables.
DEAR_JOHN.srt 	DEAR_JOHN_DVS655 	01:28:51,00 --> 01:28:55,50 	someone faces her husband.
DEAR_JOHN.srt 	DEAR_JOHN_DVS721 	01:36:37,00 --> 01:36:46,50 	as someone turns to face him, he halts in the doorway and stares at her resolutely.
DISTRICT_9.srt 	DISTRICT_9_DVS153 	00:17:51,00 --> 00:17:58,50 	he faces someone, who wears a surgical mask.
DISTRICT_9.srt 	DISTRICT_9_DVS274 	00:30:13,00 --> 00:30:25,50 	he faces his assistant.
DISTRICT_9.srt 	DISTRICT_9_DVS314 	00:34:38,00 --> 00:34:44,50 	someone faces someone.
DISTRICT_9.srt 	DISTRICT_9_DVS323 	00:35:31,00 --> 00:35:37,50 	someone faces someone's parents.
DISTRICT_9.srt 	DISTRICT_9_DVS759 	01:29:43,00 --> 01:29:59,50 	the robot turns to face him.
DISTRICT_9.srt 	DISTRICT_9_DVS814 	01:35:57,00 --> 01:36:06,50 	scrambling to his feet, someone faces a soldier.
DISTRICT_9.srt 	DISTRICT_9_DVS831 	01:37:49,00 --> 01:38:07,50 	the facial frame lifts, and he slams forward landing face down in the dirt.
DISTRICT_9.srt 	DISTRICT_9_DVS838 	01:39:00,00 --> 01:39:12,50 	spotting the colonel, someone rolls over to face him and raises his trembling human hand.
EASY_A.srt 	EASY_A_DVS45 	00:15:21,00 --> 00:15:25,50 	she faces someone.
EASY_A.srt 	EASY_A_DVS72 	00:25:42,00 --> 00:25:46,50 	she faces a stairway.
EASY_A.srt 	EASY_A_DVS98 	00:33:28,00 --> 00:33:35,50 	facing the door, someone halts.
EASY_A.srt 	EASY_A_DVS126 	00:39:41,00 --> 00:39:52,50 	with a bustier showing off her narrow waist, she halts facing someone and someone.
EASY_A.srt 	EASY_A_DVS130 	00:40:37,00 --> 00:40:46,50 	as they scramble away, someone finds herself facing someone, who snares and heads off.
EASY_A.srt 	EASY_A_DVS153 	00:48:21,00 --> 00:48:26,50 	she takes a seat facing his desk.
EASY_A.srt 	EASY_A_DVS254 	01:17:04,00 --> 01:17:11,50 	facing the car once again, she leans down to peak at someone through the window.
EASY_A.srt 	EASY_A_DVS286 	01:24:41,00 --> 01:24:49,50 	later she faces her webcam as her classmates, teachers, and family watch her webcast.
EASY_A.srt 	EASY_A_DVS288 	01:25:39,00 --> 01:25:44,50 	she faces her webcam once again.
FLIGHT.srt 	FLIGHT_DVS52 	00:09:27,00 --> 00:09:31,50 	someone sits facing someone.
FLIGHT.srt 	FLIGHT_DVS180 	00:39:26,00 --> 00:39:31,50 	someone leans against the wall, facing her.
FLIGHT.srt 	FLIGHT_DVS921 	01:49:45,00 --> 01:49:51,50 	someone lies face down in the bathroom, a large blood stain on the toilet.
FLIGHT.srt 	FLIGHT_DVS1084 	01:59:50,00 --> 01:59:55,50 	someone faces someone in the middle of the room.
FLIGHT.srt 	FLIGHT_DVS1181 	02:06:15,00 --> 02:06:21,50 	a year later, someone sits facing a group of inmates in an alcoholics anonymous meeting.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS110 	00:30:19,00 --> 00:30:26,50 	with her back to us, she faces someone and ditches her bra.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS246 	01:07:20,00 --> 01:07:37,50 	facing someone again, he finds her staring longingly at him.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS342 	01:30:31,00 --> 01:30:36,50 	someone faces his reflection in a window.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS385 	01:41:12,00 --> 01:41:16,50 	he stands facing her.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS53 	00:32:17,00 --> 00:32:22,50 	someone faces farrell someone who wears red jacket.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS93 	00:51:22,00 --> 00:51:32,50 	someone sits stiffly facing him.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS121 	01:13:08,00 --> 01:13:13,50 	someone gets to his feet and faces them.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS123 	01:15:01,00 --> 01:15:04,50 	someone faces the driver.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS124 	01:15:15,00 --> 01:15:21,50 	later, someone faces him and shifts on his feet.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS147 	01:25:35,00 --> 01:25:41,50 	later someone and someone lie facing each other, kissing tenderly.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS180 	01:40:06,00 --> 01:40:16,50 	they lie face to face gazing at each other lovingly and share a smile.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	the mustached thug eyes them fearfully, then faces the swaying demonic creature.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	the rider wheels around to face him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS110 	00:18:08,00 --> 00:18:31,50 	facing him, the rider breaks into a march.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS167 	00:26:00,00 --> 00:26:04,50 	at the wheel, someone faces him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS197 	00:31:46,00 --> 00:32:04,50 	he heads up another flight of stone steps to a crowded warehouse floor where two men face off on a round platform.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS199 	00:32:14,00 --> 00:32:23,50 	below, a fighter faces a hog on a leash.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS241 	00:38:30,00 --> 00:38:47,50 	now on his feet, ghost rider faces him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS357 	00:53:03,00 --> 00:53:10,50 	the tattoo faced monk shifts his intense gaze to someone who lifts his chin.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS426 	01:01:27,00 --> 01:01:32,50 	the tattoo faced monk addresses someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS430 	01:02:04,00 --> 01:02:09,50 	the tattoo faced monk marches off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS434 	01:02:19,00 --> 01:02:27,50 	the tattoo faced monk draws a sword and taps its long curved blade to the back of someone's neck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS439 	01:02:44,00 --> 01:03:11,50 	the tattoo faced monk spots someone leaping from his victim.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS439 	01:02:44,00 --> 01:03:11,50 	the tattoo faced monk swings his sword.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS439 	01:02:44,00 --> 01:03:11,50 	as the tattoo faced monk looks for him, someone grabs the swords hilt, causing its blade to rust and crumble.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS474 	01:09:13,00 --> 01:09:17,50 	someone faces forward.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS486 	01:10:42,00 --> 01:10:51,50 	someone faces his acolytes then raises both arms, gesturing for them to rise from their seats.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS493 	01:11:40,00 --> 01:11:44,50 	someone faces her.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS541 	01:17:13,00 --> 01:17:20,50 	the demon wrenches his victim's head to face the boy then grins at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS544 	01:17:36,00 --> 01:17:44,50 	someone faces someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS621 	01:27:52,00 --> 01:27:59,50 	someone and his mother face him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS100 	00:25:29,00 --> 00:25:34,50 	someone faces him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS139 	00:32:06,00 --> 00:32:11,50 	someone faces someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS156 	00:41:28,00 --> 00:41:34,50 	his stubble faced peer frowns.
GREEN_ZONE.srt 	GREEN_ZONE_DVS181 	00:46:38,00 --> 00:46:53,50 	later, the chief faces a laptop and types, someone dayne wall street journal wmd into a google search field.
GREEN_ZONE.srt 	GREEN_ZONE_DVS234 	00:57:46,00 --> 00:57:51,50 	facing the detainee,
GREEN_ZONE.srt 	GREEN_ZONE_DVS265 	01:02:15,00 --> 01:02:31,50 	someone faces a door and knocks.
GREEN_ZONE.srt 	GREEN_ZONE_DVS276 	01:04:01,00 --> 01:04:10,50 	facing someone earnestly, she starts to bite her lip then stifles the action.
GREEN_ZONE.srt 	GREEN_ZONE_DVS278 	01:04:56,00 --> 01:05:03,50 	someone paces again to the wall serving as her makeshift bulletin board and faces him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS287 	01:06:17,00 --> 01:06:22,50 	he halts, facing the young soldier.
GREEN_ZONE.srt 	GREEN_ZONE_DVS299 	01:08:22,00 --> 01:08:30,50 	someone faces the stocky man as the other soldier unmasks the dead assassin.
GREEN_ZONE.srt 	GREEN_ZONE_DVS302 	01:09:29,00 --> 01:09:34,50 	someone faces his team.
GREEN_ZONE.srt 	GREEN_ZONE_DVS303 	01:09:39,00 --> 01:09:44,50 	someone faces someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS311 	01:10:32,00 --> 01:10:37,50 	he faces his commander.
GREEN_ZONE.srt 	GREEN_ZONE_DVS332 	01:14:59,00 --> 01:15:12,50 	the soldier studies them carefully then faces his men.
GREEN_ZONE.srt 	GREEN_ZONE_DVS440 	01:36:48,00 --> 01:37:08,50 	he faces someone and extends a pointing finger.
GREEN_ZONE.srt 	GREEN_ZONE_DVS449 	01:38:17,00 --> 01:38:28,50 	he faces someone who firmly stands his ground, hands at his sides.
GROWN_UPS.srt 	GROWN_UPS_DVS127 	00:40:04,00 --> 00:40:12,50 	someone stands facing the water and wrinkles his brow.
GROWN_UPS.srt 	GROWN_UPS_DVS177 	00:50:25,00 --> 00:50:32,50 	she faces someone with a wide-eyed glare.
HUGO.srt 	HUGO_DVS92 	00:11:56,00 --> 00:12:11,50 	at the top, large clocks face out from every side.
HUGO.srt 	HUGO_DVS99 	00:13:08,00 --> 00:13:13,50 	the man turns and faces the boy.
HUGO.srt 	HUGO_DVS185 	00:26:10,00 --> 00:26:14,50 	he turns and faces someone.
HUGO.srt 	HUGO_DVS318 	00:49:39,00 --> 00:49:45,50 	they stare at one another then both face the automaton.
HUGO.srt 	HUGO_DVS431 	01:03:00,00 --> 01:03:08,50 	at the front door, someone stands on the landing as someone faces him from the doorway.
HUGO.srt 	HUGO_DVS436 	01:03:34,00 --> 01:03:40,50 	facing someone, someone nods then turns and walks away.
HUGO.srt 	HUGO_DVS440 	01:03:59,00 --> 01:04:06,50 	crouching, someone quickly picks up the books then stands and faces the bearded bookseller.
HUGO.srt 	HUGO_DVS462 	01:07:28,00 --> 01:07:33,50 	the inspector straightens then faces someone.
HUGO.srt 	HUGO_DVS593 	01:25:39,00 --> 01:25:45,50 	across the room, the automaton faces toward someone.
HUGO.srt 	HUGO_DVS767 	01:51:21,00 --> 01:51:27,50 	the sooty faced engineer sticks his head out of the side of the train.
IN_TIME.srt 	IN_TIME_DVS66 	00:07:35,00 --> 00:07:42,50 	the rich man stands and faces the thugs.
IN_TIME.srt 	IN_TIME_DVS110 	00:12:28,00 --> 00:12:34,50 	someone faces the rich man with a bemused frown.
IN_TIME.srt 	IN_TIME_DVS114 	00:12:57,00 --> 00:13:04,50 	someone faces him, then sinks into a leather armchair positioned opposite the bench.
IN_TIME.srt 	IN_TIME_DVS128 	00:15:10,00 --> 00:15:14,50 	facing him, someone sleeps in the armchair.
IN_TIME.srt 	IN_TIME_DVS145 	00:15:58,00 --> 00:16:04,50 	facing the windows, he stands abruptly and steps closer.
IN_TIME.srt 	IN_TIME_DVS149 	00:16:14,00 --> 00:16:23,50 	the melancholy man faces the river and distant mountains as his body clock ticks down under 15 seconds.
IN_TIME.srt 	IN_TIME_DVS433 	00:46:17,00 --> 00:46:28,50 	the small convertible spins out and stops, facing someone's front end.
IN_TIME.srt 	IN_TIME_DVS453 	00:49:02,00 --> 00:49:10,50 	he faces his underlings defensively.
IN_TIME.srt 	IN_TIME_DVS462 	00:49:40,00 --> 00:49:47,50 	he faces his companion and gently turns her face with his hand.
IN_TIME.srt 	IN_TIME_DVS483 	00:52:38,00 --> 00:52:43,50 	someone paces, then faces someone.
IN_TIME.srt 	IN_TIME_DVS536 	00:57:51,00 --> 00:57:57,50 	setting down his drink, someone sits on the couch and faces her.
IN_TIME.srt 	IN_TIME_DVS563 	01:00:24,00 --> 01:00:29,50 	standing at the window facing the mission,
IN_TIME.srt 	IN_TIME_DVS659 	01:11:33,00 --> 01:11:40,50 	someone faces him and lingers close, her gaze lowered coyly.
IN_TIME.srt 	IN_TIME_DVS667 	01:12:15,00 --> 01:12:21,50 	now, at weis time lenders, a pretty woman faces a teller.
IN_TIME.srt 	IN_TIME_DVS673 	01:12:55,00 --> 01:13:00,50 	they pause and face the staring customers.
IN_TIME.srt 	IN_TIME_DVS680 	01:13:42,00 --> 01:13:49,50 	someone gets out of his car, faces the plundered vault, and addresses the staring crowd.
IN_TIME.srt 	IN_TIME_DVS699 	01:15:03,00 --> 01:15:07,50 	using a phone, someone faces the time map.
IN_TIME.srt 	IN_TIME_DVS701 	01:15:10,00 --> 01:15:16,50 	someone ends the call and faces someone.
IN_TIME.srt 	IN_TIME_DVS716 	01:16:29,00 --> 01:16:33,50 	someone faces him from a doorway.
IN_TIME.srt 	IN_TIME_DVS718 	01:16:44,00 --> 01:16:52,50 	seated facing someone on a bed.
IN_TIME.srt 	IN_TIME_DVS725 	01:17:35,00 --> 01:17:41,50 	he faces his companion gravely.
IN_TIME.srt 	IN_TIME_DVS749 	01:19:18,00 --> 01:19:28,50 	someone and someone reach the end of the network and face a broad gap at their feet.
IN_TIME.srt 	IN_TIME_DVS754 	01:19:43,00 --> 01:19:53,50 	the driver faces a sign picturing them.
IN_TIME.srt 	IN_TIME_DVS780 	01:22:09,00 --> 01:22:15,50 	he faces the man next to the traveler and skips up to him.
IN_TIME.srt 	IN_TIME_DVS793 	01:23:36,00 --> 01:23:42,50 	she turns to face him and they share a tender kiss.
IN_TIME.srt 	IN_TIME_DVS801 	01:25:03,00 --> 01:25:08,50 	rolling up his shirt sleeve, he sits facing someone.
IN_TIME.srt 	IN_TIME_DVS821 	01:27:16,00 --> 01:27:23,50 	now, someone gazes at the four dead minutemen who lie face down on a sidewalk.
IN_TIME.srt 	IN_TIME_DVS943 	01:39:19,00 --> 01:39:25,50 	facing a city on the horizon, someone checks his clock.
INSIDE_MAN.srt 	INSIDE_MAN_DVS25 	00:06:04,00 --> 00:06:09,50 	a black guard faces the cell phone user.
INSIDE_MAN.srt 	INSIDE_MAN_DVS86 	00:22:44,00 --> 00:22:52,50 	several hostages lie face down in a break room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS191 	00:54:49,00 --> 00:55:09,50 	now, inside the vault, we circle someone as he faces the shelves of money.
INSIDE_MAN.srt 	INSIDE_MAN_DVS193 	00:55:16,00 --> 00:55:29,50 	someone turns to face the outer room and leans lazily on the vault doorframe.
INSIDE_MAN.srt 	INSIDE_MAN_DVS238 	01:10:30,00 --> 01:10:35,50 	the masked someone faces her through a teller window.
INSIDE_MAN.srt 	INSIDE_MAN_DVS262 	01:20:43,00 --> 01:21:07,50 	someone faces someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS268 	01:23:05,00 --> 01:23:09,50 	someone stops and faces him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS281 	01:26:17,00 --> 01:26:26,50 	inside, the solemn faced detective glides stiffly past running policemen.
INSIDE_MAN.srt 	INSIDE_MAN_DVS302 	01:31:35,00 --> 01:31:40,50 	someone faces someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS330 	01:36:51,00 --> 01:36:57,50 	in the lobby, they warily face the teller windows.
INSIDE_MAN.srt 	INSIDE_MAN_DVS346 	01:39:45,00 --> 01:39:58,50 	someone faces an esu officer.
INSIDE_MAN.srt 	INSIDE_MAN_DVS432 	02:02:16,00 --> 02:02:27,50 	someone stares with a confused look, then faces his reflection in a vanity mirror.
IRON_MAN_2.srt 	IRON_MAN_2_DVS50 	00:06:52,00 --> 00:07:03,50 	the women dancing onstage pause to strike various poses, then rush over and form a semicircle around someone, who faces them as they each punch out one hand.
IRON_MAN_2.srt 	IRON_MAN_2_DVS85 	00:16:51,00 --> 00:16:57,50 	someone stands and faces the rows of people behind him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS135 	00:25:18,00 --> 00:25:23,50 	someone climbs down from the ring and faces someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS157 	00:29:27,00 --> 00:29:32,50 	someone turns to face someone on tv.
IRON_MAN_2.srt 	IRON_MAN_2_DVS168 	00:31:54,00 --> 00:32:03,50 	she turns to face the entrance where someone stands holding a red case containing someone's iron man suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS173 	00:32:22,00 --> 00:32:39,50 	someone speeds around a curve and faces someone, who swings the whips.
IRON_MAN_2.srt 	IRON_MAN_2_DVS308 	00:56:27,00 --> 00:56:33,50 	everyone turns to face someone, who wears the suit with the mask flipped up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS309 	00:56:31,00 --> 00:56:38,50 	someone faces someone as he approaches.
IRON_MAN_2.srt 	IRON_MAN_2_DVS453 	01:23:33,00 --> 01:23:41,50 	facing someone, the robotic arm taps its three fingers together.
IRON_MAN_2.srt 	IRON_MAN_2_DVS695 	01:54:33,00 --> 01:54:37,50 	someone sits facing someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS89 	00:26:39,00 --> 00:26:45,50 	someone eyeballs him, then faces their children.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS97 	00:28:23,00 --> 00:28:31,50 	she faces forward and chuckles.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS115 	00:35:09,00 --> 00:35:19,50 	wearing only boxers someone grabs his shirt then faces her and slaps his ample belly.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS130 	00:41:59,00 --> 00:42:06,50 	she wanders into the middle of the taped off area, glances around then faces him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS214 	01:03:43,00 --> 01:03:48,50 	leaning back against the headboard she faces him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS225 	01:06:11,00 --> 01:06:24,50 	at the firm, someone pulls two tickets from his pocket then faces a young coworker.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS231 	01:07:50,00 --> 01:07:55,50 	someone freezes then faces her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS239 	01:08:51,00 --> 01:09:05,50 	she faces the chocolate cake on the island then stands and sets a glass cover over it.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS251 	01:11:00,00 --> 01:11:07,50 	someone ends his call and faces his family.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS307 	01:29:17,00 --> 01:29:22,50 	she faces him and they lock gazes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS320 	01:31:18,00 --> 01:31:35,50 	she casts a nervous glance back at the house then faces her ex-husband.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS382 	01:47:01,00 --> 01:47:11,50 	she slides the door close behind her then faces him clutching the strap of her purse with both hands.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS343 	01:06:09,00 --> 01:06:16,50 	now he enters a public restroom and faces an attendant who bows politely.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS41 	00:04:58,00 --> 00:05:03,50 	the redhead faces someone somberly.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS80 	00:11:13,00 --> 00:11:19,50 	as two of the women take calls, the redhaired friend faces someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS105 	00:17:40,00 --> 00:17:45,50 	someone and someone face a laptop.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS121 	00:20:30,00 --> 00:20:35,50 	someone refrains from digging in and faces someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS169 	00:30:48,00 --> 00:30:54,50 	at le cordon bleu in paris, someone and two other women face a teacher.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS214 	00:40:58,00 --> 00:41:03,50 	she faces the pot.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS227 	00:42:31,00 --> 00:42:38,50 	dressed like someone child, someone puts her hands on her hips and faces her guests.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS266 	00:51:34,00 --> 00:51:38,50 	she faces the sink.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS293 	00:57:56,00 --> 00:58:01,50 	someone faces someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS299 	00:59:53,00 --> 01:00:03,50 	now someone faces a wardrobe's full-length mirror.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS307 	01:00:37,00 --> 01:00:42,50 	a tall man faces someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS315 	01:01:34,00 --> 01:01:40,50 	she kisses his cheek, then faces the priest with someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS354 	01:07:53,00 --> 01:07:59,50 	dressed like someone child, dan aykroyd faces the camera.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS418 	01:21:26,00 --> 01:21:35,50 	facing him, someone fidgets with her cardigan as she gazes forlornly around the half-packed kitchen.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS432 	01:25:17,00 --> 01:25:22,50 	someone faces her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS537 	01:46:20,00 --> 01:46:26,50 	he shifts her feet a smidge on the coffee table and sits facing her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS551 	01:49:15,00 --> 01:49:22,50 	later, the editor faces the pot, skeptically tensing her lips.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS592 	01:55:34,00 --> 01:55:41,50 	she taps her glass, stands, and swallows facing her husband.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS605 	01:57:09,00 --> 01:57:16,50 	someone faces someone's portrait with a faint smile, then glances around wearily.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS54 	00:18:46,00 --> 00:18:51,50 	someone faces him with a wide-eyed smirk.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS59 	00:21:23,00 --> 00:21:30,50 	someone faces a window.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS81 	00:30:14,00 --> 00:30:20,50 	facing someone, she finds him staring pointedly at her.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS87 	00:32:55,00 --> 00:33:00,50 	someone faces her younger brother.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS114 	00:41:11,00 --> 00:41:17,50 	someone leaves and someone faces someone.
