21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS445 	00:43:04,00 --> 00:43:08,50 	he looks up at them with extended arms.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS466 	00:45:10,00 --> 00:45:16,50 	looking up from the essay, someone watches her closely.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS482 	00:46:14,00 --> 00:46:19,50 	someone turns the page and looks up.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS483 	00:46:19,00 --> 00:46:23,50 	someone quickly looks up.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS485 	00:46:27,00 --> 00:46:32,50 	someone's wife eyes her husband then looks down.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS535 	00:52:06,00 --> 00:52:11,50 	she smiles sweetly and looks off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS550 	00:53:12,00 --> 00:53:19,50 	he presses his thumb against the ad and looks down at the unopened envelope from his father.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS650 	01:02:36,00 --> 01:02:43,50 	someone watches as someone looks up at the shark again and exhales more air.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS682 	01:06:27,00 --> 01:06:32,50 	nearing a rocky shore, someone pauses and looks back at her.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS711 	01:10:14,00 --> 01:10:19,50 	perched in a portable chair, someone looks on appreciatively.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS761 	01:16:14,00 --> 01:16:19,50 	also in black, someone jogs out from a church and looks around.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS773 	01:16:53,00 --> 01:16:59,50 	someone looks over her shoulder and finds him approaching his mentor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS808 	01:19:52,00 --> 01:19:57,50 	looking up, he finds one of the paddleboards gone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS812 	01:20:14,00 --> 01:20:19,50 	someone looks around anxiously and shakes water from his hair.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS816 	01:20:40,00 --> 01:20:45,50 	pausing, someone looks around helplessly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS832 	01:22:29,00 --> 01:22:34,50 	his bleary, someone twists around and looks over his shoulder.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS852 	01:23:54,00 --> 01:24:00,50 	his beaming mother looks on as she scoops scrambled eggs from a pan.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS944 	01:32:40,00 --> 01:32:46,50 	behind him, someone bundles up his beaming daughter as someone looks on.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS981 	01:36:12,00 --> 01:36:20,50 	the veteran surfers look back, give him a respectful nod, and they paddle on together as a foursome.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1030 	01:39:51,00 --> 01:39:56,50 	the veterans look over their shoulders and press ahead.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1044 	01:40:37,00 --> 01:40:44,50 	the others look back to see receding break fling someone's tiny surfboard up and swallow it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1049 	01:41:00,00 --> 01:41:07,50 	someone looks through his binoculars and spots his board sticking straight up out of the turmoil.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1071 	01:42:23,00 --> 01:42:27,50 	someone looks from someone to the surf.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1085 	01:43:28,00 --> 01:43:32,50 	someone looks at someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1099 	01:45:00,00 --> 01:45:06,50 	he looks up to see someone rejoin his surfing buddies.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1131 	01:48:22,00 --> 01:48:27,50 	he turns around and looks up at the surface.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1141 	01:49:00,00 --> 01:49:06,50 	he turns to see someone looking up at him with pain in her eyes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1153 	01:49:32,00 --> 01:49:37,50 	someone looks on with a mournful gaze.
CHRONICLE.srt 	CHRONICLE_DVS73 	00:08:55,00 --> 00:09:11,50 	through his camera, someone looks the young woman up and down.
CHRONICLE.srt 	CHRONICLE_DVS141 	00:20:44,00 --> 00:20:49,50 	someone looks over, then gives a shrug.
CHRONICLE.srt 	CHRONICLE_DVS196 	00:28:55,00 --> 00:29:02,50 	the mind-controlled camera view shows someone seated close to us, looking in our direction.
CHRONICLE.srt 	CHRONICLE_DVS260 	00:40:01,00 --> 00:40:07,50 	someone looks into our hovering camera view.
CHRONICLE.srt 	CHRONICLE_DVS359 	00:55:19,00 --> 00:55:26,50 	someone looks around.
CHRONICLE.srt 	CHRONICLE_DVS475 	01:08:43,00 --> 01:08:50,50 	we watch the falling car exploding on impact, then look up at our savior.
CHRONICLE.srt 	CHRONICLE_DVS524 	01:14:28,00 --> 01:14:36,50 	someone looks on helplessly as huge glass shards rain down on frightened pedestrians.
CHRONICLE.srt 	CHRONICLE_DVS525 	01:14:41,00 --> 01:14:47,50 	blood trickling from his nose, someone squints and looks around.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS16 	00:03:34,00 --> 00:03:38,50 	someone looks out the window.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS29 	00:07:06,00 --> 00:07:12,50 	someone looks around cautiously.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS49 	00:09:42,00 --> 00:09:58,50 	as his wife looks over from the stove, he shows her the past
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS81 	00:14:55,00 --> 00:15:02,50 	the straight haired boy looks up at his father.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS82 	00:15:12,00 --> 00:15:19,50 	the boxer looks around, shifting on his feet.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS96 	00:18:09,00 --> 00:18:14,50 	someone stops him then looks back down at his wrist.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS100 	00:20:47,00 --> 00:20:52,50 	as someone looks away, someone's
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS120 	00:27:42,00 --> 00:27:47,50 	his wife looks tenderly.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS122 	00:27:47,00 --> 00:27:57,50 	cast, he looks into her eyes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS138 	00:30:11,00 --> 00:30:20,50 	someone looks from the supervisor to someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS154 	00:33:57,00 --> 00:34:03,50 	and they both look toward the children's bed.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS167 	00:35:45,00 --> 00:35:51,50 	as someone trembles, someone looks to her eldest son.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS184 	00:39:13,00 --> 00:39:22,50 	as she slides it into an envelope, the clerk looks into someone's eyes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS197 	00:41:21,00 --> 00:41:27,50 	the humble father looks at the men then drops his gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS201 	00:42:00,00 --> 00:42:09,50 	a hefty patron looks around the room then gets up.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS204 	00:42:27,00 --> 00:42:36,50 	he looks at two more gentlemen.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS206 	00:42:58,00 --> 00:43:06,50 	someone looks on solemnly and presses his lips together.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS231 	00:49:59,00 --> 00:50:03,50 	someone looks up.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS233 	00:51:13,00 --> 00:51:20,50 	as a balding man signals to someone, the boxer looks back at his surprise visitor.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS293 	01:10:18,00 --> 01:10:23,50 	mrs. gould looks away, smiles, and shakes her head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS323 	01:20:42,00 --> 01:21:11,50 	someone looks up at lasky who appears to sink away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS323 	01:20:42,00 --> 01:21:11,50 	remembering his children's bed lying empty, someone looks up at his opponent's swollen face.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS328 	01:22:24,00 --> 01:22:28,50 	someone looks around.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS345 	01:26:04,00 --> 01:26:11,50 	someone turns, looking all around.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS362 	01:28:11,00 --> 01:28:18,50 	someone's wife looks down at someone's plain pine coffin.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS373 	01:32:03,00 --> 01:32:09,50 	furrowing his brow, someone trades look with his fighter.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS378 	01:32:48,00 --> 01:32:52,50 	someone looks over at someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS387 	01:34:24,00 --> 01:34:50,50 	back in the ring, baer adjusts his gloves as he looks at us.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS390 	01:35:07,00 --> 01:35:13,50 	someone looks at his manager who gives him a grim look.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS393 	01:35:31,00 --> 01:35:36,50 	a smile, someone looks at someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS395 	01:35:58,00 --> 01:36:05,50 	bathed in sunlight, someone looks down at his lawyer who nods.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS435 	01:45:09,00 --> 01:45:13,50 	standing by the car's open door, someone looks back at his wife.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS439 	01:45:30,00 --> 01:45:34,50 	his daughter looks up at him seriously.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS456 	01:47:30,00 --> 01:47:34,50 	he nods then looks forward.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS474 	01:49:44,00 --> 01:49:48,50 	both men look up and stare.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS481 	01:50:17,00 --> 01:50:27,50 	she grips his shoulders and looks into his eyes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS489 	01:52:14,00 --> 01:52:29,50 	with someone just behind him, the fighter passes two guards and looks around the packed arena.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS495 	01:53:50,00 --> 01:53:57,50 	standing on the basement stairs with the radio, someone, someone, and someone look up innocently.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS498 	01:55:16,00 --> 01:55:22,50 	smiling, someone looks at the packed stands.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS527 	02:03:48,00 --> 02:03:54,50 	someone looks to his sibling and someone frowns.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS556 	02:10:26,00 --> 02:10:44,50 	at alice's, someone looks to his mother.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS571 	02:14:07,00 --> 02:14:11,50 	in the ring, someone looks around.
COLOMBIANA.srt 	COLOMBIANA_DVS73 	00:05:12,00 --> 00:05:17,50 	the stubble faced man looks out on the city,
COLOMBIANA.srt 	COLOMBIANA_DVS95 	00:07:29,00 --> 00:07:39,50 	someone looks out a window at the sedan below.
COLOMBIANA.srt 	COLOMBIANA_DVS180 	00:15:45,00 --> 00:15:53,50 	returning to the ground, he looks down a staircase and sees the beefy thug peering around the corner of a building.
COLOMBIANA.srt 	COLOMBIANA_DVS256 	00:21:25,00 --> 00:21:30,50 	where shady looking men talk along its edges.
COLOMBIANA.srt 	COLOMBIANA_DVS278 	00:23:13,00 --> 00:23:18,50 	he eases her back to look her in the eye.
COLOMBIANA.srt 	COLOMBIANA_DVS301 	00:25:53,00 --> 00:25:58,50 	she looks up at her uncle with a resolute gaze.
COLOMBIANA.srt 	COLOMBIANA_DVS339 	00:30:11,00 --> 00:30:17,50 	a portly desk sergeant looks up at her approach.
COLOMBIANA.srt 	COLOMBIANA_DVS343 	00:30:29,00 --> 00:30:34,50 	the sergeant looks through her purse.
COLOMBIANA.srt 	COLOMBIANA_DVS396 	00:35:21,00 --> 00:35:25,50 	at his desk, the sergeant looks up.
COLOMBIANA.srt 	COLOMBIANA_DVS451 	00:39:43,00 --> 00:39:50,50 	the someone lands behind two cops in an alley who turn and look up.
COLOMBIANA.srt 	COLOMBIANA_DVS481 	00:42:32,00 --> 00:42:38,50 	he looks up with a furrowed brow at the sizable vent cover
COLOMBIANA.srt 	COLOMBIANA_DVS494 	00:43:31,00 --> 00:43:37,50 	the assassin steps out into the hall and looks both ways.
COLOMBIANA.srt 	COLOMBIANA_DVS528 	00:47:51,00 --> 00:47:56,50 	she looks at it for a moment then dances away.
COLOMBIANA.srt 	COLOMBIANA_DVS547 	00:50:11,00 --> 00:50:17,50 	he cautiously looks down the hall then steps into a dark apartment.
COLOMBIANA.srt 	COLOMBIANA_DVS577 	00:52:30,00 --> 00:52:37,50 	looking around, he moves to a coin operated washing machine and starts a load.
COLOMBIANA.srt 	COLOMBIANA_DVS642 	01:00:20,00 --> 01:00:26,50 	someone bolts upright then looks down at his bare chest.
COLOMBIANA.srt 	COLOMBIANA_DVS711 	01:07:41,00 --> 01:07:45,50 	someone looks away.
COLOMBIANA.srt 	COLOMBIANA_DVS739 	01:10:10,00 --> 01:10:16,50 	someone looks out a window with a frustrated look.
COLOMBIANA.srt 	COLOMBIANA_DVS821 	01:19:21,00 --> 01:19:27,50 	in the stairwell, someone pauses briefly, looking down.
COLOMBIANA.srt 	COLOMBIANA_DVS909 	01:26:00,00 --> 01:26:06,50 	agent someone looks down.
COLOMBIANA.srt 	COLOMBIANA_DVS930 	01:29:33,00 --> 01:29:41,50 	listening to the caller, he looks out the windows as he makes his way back to someone's desk.
COLOMBIANA.srt 	COLOMBIANA_DVS945 	01:31:08,00 --> 01:31:14,50 	someone shifts her gaze then looks back at the dogs.
COLOMBIANA.srt 	COLOMBIANA_DVS962 	01:32:46,00 --> 01:32:53,50 	looking into the adjacent room, someone finds his boss unconscious on the floor.
DEAR_JOHN.srt 	DEAR_JOHN_DVS50 	00:06:25,00 --> 00:06:29,50 	he looks away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS58 	00:07:32,00 --> 00:07:36,50 	he looks over his shoulder.
DEAR_JOHN.srt 	DEAR_JOHN_DVS104 	00:15:32,00 --> 00:15:37,50 	someone's father looks up from his desk.
DEAR_JOHN.srt 	DEAR_JOHN_DVS131 	00:20:57,00 --> 00:21:02,50 	looking away, someone works his mouth.
DEAR_JOHN.srt 	DEAR_JOHN_DVS198 	00:31:15,00 --> 00:31:33,50 	his father looks on as he starts to put the silverware away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS202 	00:31:55,00 --> 00:32:05,50 	someone gazes off as he chews, then looks down at his plate.
DEAR_JOHN.srt 	DEAR_JOHN_DVS216 	00:34:07,00 --> 00:34:17,50 	someone looks up from his coins.
DEAR_JOHN.srt 	DEAR_JOHN_DVS220 	00:34:29,00 --> 00:34:34,50 	she tearfully looks away, and watches the road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS281 	00:44:21,00 --> 00:44:25,50 	someone looks at his son.
DEAR_JOHN.srt 	DEAR_JOHN_DVS293 	00:45:22,00 --> 00:45:31,50 	his father looks up from a coin.
DEAR_JOHN.srt 	DEAR_JOHN_DVS349 	00:54:15,00 --> 00:54:20,50 	someone looks around self-consciously.
DEAR_JOHN.srt 	DEAR_JOHN_DVS359 	00:56:15,00 --> 00:56:20,50 	she looks at him ascant, then faces him fully.
DEAR_JOHN.srt 	DEAR_JOHN_DVS405 	01:02:05,00 --> 01:02:09,50 	she looks up at him, tearfully.
DEAR_JOHN.srt 	DEAR_JOHN_DVS506 	01:13:27,00 --> 01:13:32,50 	the captain looks up, as someone walks in.
DEAR_JOHN.srt 	DEAR_JOHN_DVS630 	01:26:12,00 --> 01:26:19,50 	then looks back up at her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS639 	01:27:07,00 --> 01:27:12,50 	she hurries away, and he idly looks around.
DEAR_JOHN.srt 	DEAR_JOHN_DVS679 	01:31:55,00 --> 01:32:00,50 	someone manages a smile and looks away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS685 	01:32:32,00 --> 01:32:38,50 	her wounded smile fades, and she looks to the ceiling.
DEAR_JOHN.srt 	DEAR_JOHN_DVS690 	01:33:08,00 --> 01:33:12,50 	but he shuts it and looks away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS696 	01:33:53,00 --> 01:33:57,50 	she looks up imploringly.
DEAR_JOHN.srt 	DEAR_JOHN_DVS727 	01:37:06,00 --> 01:37:11,50 	she looks to someone, then shyly shifts her gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS730 	01:37:14,00 --> 01:37:18,50 	someone looks away.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS39 	00:03:03,00 --> 00:03:13,50 	now he airbrushes a sunbathing mouse so that it looks like a topless female mouse has a bikini line.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS57 	00:08:07,00 --> 00:08:12,50 	someone looks over at someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS64 	00:10:30,00 --> 00:10:37,50 	slightly bemused, someone looks around the plush office and smiles to himself.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS67 	00:10:39,00 --> 00:10:45,50 	someone looks through the window and spots a brunette woman, he smiles and waves at her.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS84 	00:17:57,00 --> 00:18:02,50 	someone looks around and tight-jawed, nods grimly.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS89 	00:20:21,00 --> 00:20:26,50 	someone looks unconvinced.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS135 	00:30:34,00 --> 00:30:38,50 	someone looks up guiltily.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS144 	00:33:16,00 --> 00:33:19,50 	he looks at a magazine.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS163 	00:38:16,00 --> 00:38:23,50 	someone looks at himself in the mirror.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS168 	00:38:55,00 --> 00:39:00,50 	someone looks round abruptly.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS172 	00:39:04,00 --> 00:39:08,50 	he looks toward the windows.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS248 	01:00:13,00 --> 01:00:20,50 	someone looks sympathetically over at the soundly slumbering someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS253 	01:01:33,00 --> 01:01:37,50 	someone looks at the door then at the armchair he's in.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS288 	01:11:01,00 --> 01:11:06,50 	someone turns away, looking fed up.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS289 	01:11:04,00 --> 01:11:08,50 	someone looks concerned.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS300 	01:14:51,00 --> 01:14:58,50 	someone looks at some goats in front of them then turns back to someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS303 	01:15:53,00 --> 01:15:57,50 	someone looks down sadly.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS308 	01:16:27,00 --> 01:16:31,50 	someone looks down uncomfortably.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS310 	01:17:12,00 --> 01:17:17,50 	someone frowns and looks contrite.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS316 	01:17:42,00 --> 01:17:53,50 	he switches a light on and looks at his workbench, which is cluttered with taxidermy paraphernalia and a picture of him with someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS335 	01:19:20,00 --> 01:19:25,50 	and looks around sadly.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS337 	01:20:10,00 --> 01:20:19,50 	someone hangs up and looks thoughtful.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS348 	01:24:00,00 --> 01:24:04,50 	everyone looks up.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS366 	01:28:17,00 --> 01:28:21,50 	someone looks moved.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS375 	01:32:03,00 --> 01:32:07,50 	someone looks down ruefully.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS384 	01:33:34,00 --> 01:33:40,50 	someone turns to look in at the others through the french windows.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS431 	01:46:28,00 --> 01:46:32,50 	he looks at someone.
DISTRICT_9.srt 	DISTRICT_9_DVS272 	00:30:02,00 --> 00:30:07,50 	looking queasy, someone runs out, outside.
DISTRICT_9.srt 	DISTRICT_9_DVS273 	00:30:05,00 --> 00:30:14,50 	the alien looks over.
DISTRICT_9.srt 	DISTRICT_9_DVS290 	00:32:30,00 --> 00:32:35,50 	it has to be, keep looking.
DISTRICT_9.srt 	DISTRICT_9_DVS388 	00:43:19,00 --> 00:43:24,50 	someone looks up tearfully from the couch.
DISTRICT_9.srt 	DISTRICT_9_DVS440 	00:48:40,00 --> 00:48:56,50 	someone turns his head toward the sky, his eyes tracking the helicopter above, then looks back at the mnu vehicle.
DISTRICT_9.srt 	DISTRICT_9_DVS471 	00:54:35,00 --> 00:54:46,50 	inside, someone johnson looks up and sees him.
DISTRICT_9.srt 	DISTRICT_9_DVS480 	00:55:45,00 --> 00:55:58,50 	the alien nervously looks around, the tendrils on his mouth swinging back and forth.
DISTRICT_9.srt 	DISTRICT_9_DVS503 	00:59:01,00 --> 00:59:13,50 	he looks at the man's alien arm and holds out his own arm next to it.
DISTRICT_9.srt 	DISTRICT_9_DVS522 	01:01:01,00 --> 01:01:07,50 	someone looks around and finds the cellphone on the bag.
DISTRICT_9.srt 	DISTRICT_9_DVS759 	01:29:43,00 --> 01:29:59,50 	it shifts its shoulders, then tilts its head to look at someone, who kneels in front of him held at gunpoint by a mercenary.
DISTRICT_9.srt 	DISTRICT_9_DVS769 	01:31:03,00 --> 01:31:13,50 	someone looks up to see the robot shooting as it charges over.
DISTRICT_9.srt 	DISTRICT_9_DVS812 	01:35:44,00 --> 01:35:54,50 	inside, someone look wearily.
DISTRICT_9.srt 	DISTRICT_9_DVS820 	01:36:38,00 --> 01:36:43,50 	he looks its remaining arm, knocking it over.
DISTRICT_9.srt 	DISTRICT_9_DVS841 	01:39:34,00 --> 01:39:47,50 	looking up, he springs to his feet and points his gun at the red alien, who now stands before him.
EASY_A.srt 	EASY_A_DVS86 	00:31:21,00 --> 00:31:26,50 	the eavesdropping team swap looks.
EASY_A.srt 	EASY_A_DVS115 	00:38:12,00 --> 00:38:27,50 	now someone tears red fabric into scraps then meticulously cuts them up with scissors as her dog looks on.
EASY_A.srt 	EASY_A_DVS192 	01:00:15,00 --> 01:00:19,50 	someone looks up at her.
EASY_A.srt 	EASY_A_DVS209 	01:04:21,00 --> 01:04:26,50 	looking in, she finds the priest's booth empty.
EASY_A.srt 	EASY_A_DVS221 	01:09:20,00 --> 01:09:28,50 	under someone's unwavering gaze, someone gives a nervous nod, then looks down at the table.
EASY_A.srt 	EASY_A_DVS231 	01:12:21,00 --> 01:12:27,50 	someone looks up at him with a wounded glare.
FLIGHT.srt 	FLIGHT_DVS49 	00:07:30,00 --> 00:07:35,50 	he looks someone over.
FLIGHT.srt 	FLIGHT_DVS63 	00:12:54,00 --> 00:13:00,50 	someone smiles, and looks at the passengers from her jump seat.
FLIGHT.srt 	FLIGHT_DVS133 	00:25:57,00 --> 00:26:03,50 	someone looks up at a female emt leaning over him,
FLIGHT.srt 	FLIGHT_DVS173 	00:38:28,00 --> 00:38:34,50 	he looks around the dark room, then clicks on the light.
FLIGHT.srt 	FLIGHT_DVS204 	00:47:09,00 --> 00:47:16,50 	he enters a cozy, fully furnished living room, and looks around.
FLIGHT.srt 	FLIGHT_DVS207 	00:47:18,00 --> 00:47:23,50 	his eye still covered by a bandage, looks around.
FLIGHT.srt 	FLIGHT_DVS236 	00:50:06,00 --> 00:50:13,50 	he looks at a group of photos hanging above a workstation off to one side of the hanger,
FLIGHT.srt 	FLIGHT_DVS244 	00:51:53,00 --> 00:52:01,50 	someone stands at a table strewn with the pictures of the crash, as men in suits look on.
FLIGHT.srt 	FLIGHT_DVS310 	00:54:38,00 --> 00:54:43,50 	someone looks through a file.
FLIGHT.srt 	FLIGHT_DVS339 	00:56:20,00 --> 00:56:25,50 	someone looks at the piece of paper before him, narrows his eyes.
FLIGHT.srt 	FLIGHT_DVS353 	00:58:08,00 --> 00:58:12,50 	he looks around and drinks from the bottle.
FLIGHT.srt 	FLIGHT_DVS361 	00:58:40,00 --> 00:58:44,50 	someone looks away, then back at someone.
FLIGHT.srt 	FLIGHT_DVS368 	00:59:17,00 --> 00:59:22,50 	he takes a sip from his beer and looks up.
FLIGHT.srt 	FLIGHT_DVS374 	01:00:47,00 --> 01:00:52,50 	someone looks at her for a moment.
FLIGHT.srt 	FLIGHT_DVS399 	01:03:17,00 --> 01:03:23,50 	they look into each other's eyes, and their lips meet again.
FLIGHT.srt 	FLIGHT_DVS402 	01:03:42,00 --> 01:03:48,50 	someone looks up, and rises off the bed.
FLIGHT.srt 	FLIGHT_DVS546 	01:17:32,00 --> 01:17:37,50 	she looks at him, with tears in her eyes.
FLIGHT.srt 	FLIGHT_DVS882 	01:43:46,00 --> 01:43:51,50 	someone looks around the spacious room.
FLIGHT.srt 	FLIGHT_DVS893 	01:45:40,00 --> 01:45:45,50 	he looks around for the source of the knocking.
FLIGHT.srt 	FLIGHT_DVS906 	01:47:34,00 --> 01:47:39,50 	someone squats and looks over the array of spirits.
FLIGHT.srt 	FLIGHT_DVS918 	01:49:07,00 --> 01:49:11,50 	the men look at each other.
FLIGHT.srt 	FLIGHT_DVS969 	01:54:50,00 --> 01:54:55,50 	he removes his glasses, and looks at his reflection on the elevator ceiling.
FLIGHT.srt 	FLIGHT_DVS1148 	02:03:35,00 --> 02:03:41,50 	someone rolls his tongue, and looks briefly at someone and someone.
FLIGHT.srt 	FLIGHT_DVS1169 	02:05:25,00 --> 02:05:31,50 	someone looks firmly at someone, his face shiny with perspiration.
FLIGHT.srt 	FLIGHT_DVS1170 	02:05:34,00 --> 02:05:38,50 	someone looks down, his eyes heavy.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS61 	00:16:11,00 --> 00:16:22,50 	someone looks around bewilderedly.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS90 	00:23:24,00 --> 00:23:52,50 	at a party they view a canvas that features industrial looking stenciling.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS142 	00:37:50,00 --> 00:37:58,50 	looking into the bathroom, she finds someone sitting on the toilet.
