21_JUMP_STREET.srt 	21_JUMP_STREET_DVS38 	00:04:22,00 --> 00:04:30,50 	now by someone's bed, someone shoots him with a toy gun.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS482 	01:10:05,00 --> 01:10:13,50 	as someone watches her, he shoots frequent glances over his shoulder toward someone's rental.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS305 	00:36:01,00 --> 00:36:08,50 	from her seat across his desk, someone shoots the portly bearded man a weary look.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS385 	00:46:31,00 --> 00:46:38,50 	she shoots him a repulsed look then reaches into his pants.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1330 	02:22:31,00 --> 02:22:36,50 	someone shoots a look to someone who shrugs.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS177 	01:10:06,00 --> 01:10:12,50 	someone shoots him a scolding pout.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS230 	01:31:33,00 --> 01:31:43,50 	he shoots someone a glare then faces someone.
THE_VOW.srt 	THE_VOW_DVS150 	00:15:48,00 --> 00:15:53,50 	he shoots her doctor a glance.
THE_VOW.srt 	THE_VOW_DVS348 	00:47:12,00 --> 00:47:17,50 	sitting behind it, he shoots her a quizzical look.
THE_WATCH.srt 	THE_WATCH_DVS107 	00:16:48,00 --> 00:16:53,50 	someone shoots a finger gun into the air.
THE_WATCH.srt 	THE_WATCH_DVS207 	00:38:23,00 --> 00:38:30,50 	someone sticks his finger in the ball and it shoots a beam of energy at a cow.
THE_WATCH.srt 	THE_WATCH_DVS460 	01:22:50,00 --> 01:22:54,50 	someone shoots it in the shoulder.
THE_WATCH.srt 	THE_WATCH_DVS467 	01:24:23,00 --> 01:24:29,50 	the others shoot the creature down again with a shot to the groin.
THE_WATCH.srt 	THE_WATCH_DVS469 	01:24:41,00 --> 01:24:46,50 	someone and someone take turns shooting the alien.
THE_WATCH.srt 	THE_WATCH_DVS480 	01:26:06,00 --> 01:26:10,50 	they prepare to shoot.
THE_WATCH.srt 	THE_WATCH_DVS490 	01:27:33,00 --> 01:27:41,50 	they shoot, to no avail, even blasting a hole in one's head.
THE_WATCH.srt 	THE_WATCH_DVS516 	01:31:17,00 --> 01:31:22,50 	someone shoots the alien and someone kicks it off.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS64 	00:16:45,00 --> 00:16:54,50 	steadying himself on someone, someone lifts his leg and shoots the ball with one hand.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS166 	00:42:48,00 --> 00:42:54,50 	she glances away, then shoots him a contemplative look.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS340 	01:24:17,00 --> 01:24:27,50 	a woman waiting in the valet area shoots someone a dubious look.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS529 	01:56:02,00 --> 01:56:13,50 	as he shoots, ron artest smacks the ball away.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS16 	00:02:42,00 --> 00:02:51,50 	he turns and shoots into the air.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS26 	00:03:35,00 --> 00:03:46,50 	leaping onto the helipad, someone shoots a bald guard.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS230 	00:42:50,00 --> 00:42:55,50 	dropping to the floor, the agent shoot their assailants.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS259 	00:48:29,00 --> 00:48:34,50 	he shoots the drone, destroying it.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS294 	00:54:18,00 --> 00:54:26,50 	crouching on a deck, he shoots the players hiding beneath then beacons someone with the wave.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS303 	00:55:36,00 --> 00:55:41,50 	her gun shoots him in the crouch.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS461 	01:21:42,00 --> 01:21:50,50 	someone shoots the tire on someone's car which veers off the road and catches air over a decorative man-made lake.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS472 	01:23:26,00 --> 01:23:46,50 	as it bounces under the pursuer's bumper, the agents shoot it and it explodes.
THOR.srt 	THOR_DVS35 	00:03:55,00 --> 00:04:01,50 	flashes of white light shoot down beside a distant mountain.
THOR.srt 	THOR_DVS46 	00:05:04,00 --> 00:05:09,50 	meanwhile, a flame shoots from the warrior leaders spears.
THOR.srt 	THOR_DVS116 	00:17:26,00 --> 00:17:36,50 	someone and his companions shoot down a tunnel and vanish in a flash of light.
THOR.srt 	THOR_DVS203 	00:27:12,00 --> 00:27:20,50 	the beam of light sucks up someone and the other asgardians before shooting back into outer space and vanishing.
THOR.srt 	THOR_DVS230 	00:31:08,00 --> 00:31:12,50 	someone shoots someone with a taser.
THOR.srt 	THOR_DVS559 	01:28:14,00 --> 01:28:23,50 	someone's hand shoots up and snatches someone out of the air as a bolt of lightning strikes it.
THOR.srt 	THOR_DVS562 	01:28:24,00 --> 01:28:31,50 	metal shards shoot onto someone's skin, becoming his armor.
THOR.srt 	THOR_DVS607 	01:32:39,00 --> 01:32:46,50 	they shoot through outer space along the bifrost bridge then emerge in someone's observatory.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS52 	00:06:41,00 --> 00:06:45,50 	she shoots him a look.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS604 	01:05:57,00 --> 01:06:05,50 	someone shoots the last puck and pumps a fist.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS739 	01:21:18,00 --> 01:21:24,50 	someone swivels the gun as it shoots a thick jet of amnesia dust.
TRUE_GRIT.srt 	TRUE_GRIT_DVS217 	00:46:31,00 --> 00:46:37,50 	someone shoots his pistol in the air and the bird flies off.
TRUE_GRIT.srt 	TRUE_GRIT_DVS263 	00:54:07,00 --> 00:54:14,50 	the men start shooting from the cabin and someone returns fire.
TRUE_GRIT.srt 	TRUE_GRIT_DVS271 	00:58:05,00 --> 00:58:11,50 	someone shoots someone in the face.
TRUE_GRIT.srt 	TRUE_GRIT_DVS298 	01:03:26,00 --> 01:03:32,50 	someone shoots him.
TRUE_GRIT.srt 	TRUE_GRIT_DVS301 	01:03:38,00 --> 01:03:43,50 	someone methodically shoots back with his rifle.
TRUE_GRIT.srt 	TRUE_GRIT_DVS330 	01:10:11,00 --> 01:10:15,50 	and shoots it to bits.
TRUE_GRIT.srt 	TRUE_GRIT_DVS334 	01:10:31,00 --> 01:10:36,50 	and before he can shoot, someone takes a shot.
TRUE_GRIT.srt 	TRUE_GRIT_DVS342 	01:11:16,00 --> 01:11:21,50 	he shoots wildly.
TRUE_GRIT.srt 	TRUE_GRIT_DVS355 	01:12:55,00 --> 01:13:00,50 	he shoots into the darkness.
TRUE_GRIT.srt 	TRUE_GRIT_DVS408 	01:20:58,00 --> 01:21:05,50 	she shoots him as he starts towards her and the recoil puts her on her backside in the water.
TRUE_GRIT.srt 	TRUE_GRIT_DVS457 	01:30:40,00 --> 01:30:48,50 	someone shoots the simpleton.
TRUE_GRIT.srt 	TRUE_GRIT_DVS518 	01:35:08,00 --> 01:35:13,50 	someone shoots his pistol at the ground.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS31 	00:03:18,00 --> 00:03:23,50 	the team shoots a cooking segment.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS401 	00:48:49,00 --> 00:48:54,50 	someone shoots someone a look.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS296 	00:40:49,00 --> 00:40:54,50 	she shoots a look at someone, who cracks up.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS429 	01:00:57,00 --> 01:01:01,50 	she shoots a basket.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS437 	01:01:43,00 --> 01:01:48,50 	someone gives her backward shot a try.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS627 	01:25:45,00 --> 01:25:53,50 	as her mother uninhibitedly jumps up and down, someone shoots someone an uneasy glance.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS495 	00:45:20,00 --> 00:45:36,50 	his chest heaves as he envisions shooting into the air past hundreds of humans.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS551 	00:51:42,00 --> 00:51:46,50 	someone shoots someone a smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS558 	00:52:25,00 --> 00:52:32,50 	red rings of energy swirl around him and shoot off like discs.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS717 	01:04:35,00 --> 01:04:42,50 	the agent accidentally shoots someone's hostage and the teleporter vanishes.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS855 	01:18:25,00 --> 01:18:32,50 	facing three mannequins, someone shoots a shaft of energy from his chest.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS864 	01:19:12,00 --> 01:19:19,50 	rings of sound waves shoot out of his mouth, expanding in a cone shape.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS876 	01:20:11,00 --> 01:20:17,50 	he shoots an uncertain look and his friend nod
ZOMBIELAND.srt 	ZOMBIELAND_DVS66 	00:05:44,00 --> 00:05:50,50 	the narrator shoots her in the chest but she keeps coming.
ZOMBIELAND.srt 	ZOMBIELAND_DVS82 	00:06:45,00 --> 00:06:54,50 	the narrator turns on his wipers to keep him at bay, then finishes reloading and shoots him in the shoulder.
ZOMBIELAND.srt 	ZOMBIELAND_DVS182 	00:17:52,00 --> 00:17:59,50 	now the zombie's hands shoots up and twists the bathroom door knob.
ZOMBIELAND.srt 	ZOMBIELAND_DVS297 	00:33:28,00 --> 00:33:33,50 	she shoots out the moon roof.
ZOMBIELAND.srt 	ZOMBIELAND_DVS366 	00:41:39,00 --> 00:41:45,50 	staying out of its line of sight, someone shoots a zombie as it runs out.
ZOMBIELAND.srt 	ZOMBIELAND_DVS462 	00:53:39,00 --> 00:53:44,50 	someone springs up and shoots someone in the chest.
ZOMBIELAND.srt 	ZOMBIELAND_DVS510 	00:59:19,00 --> 00:59:26,50 	someone shoots a glance back then follows.
ZOMBIELAND.srt 	ZOMBIELAND_DVS653 	01:13:31,00 --> 01:13:45,50 	hanging off the swing by one arm, he shoots the zombies as they approach the fence.
ZOMBIELAND.srt 	ZOMBIELAND_DVS665 	01:14:28,00 --> 01:14:32,50 	he shoots a zombie woman in the head.
ZOMBIELAND.srt 	ZOMBIELAND_DVS680 	01:15:17,00 --> 01:15:23,50 	as she claws at him, someone shoots her in the stomach.
ZOMBIELAND.srt 	ZOMBIELAND_DVS684 	01:15:37,00 --> 01:15:44,50 	meanwhile, as someone exits the roller coaster, he shoots an approaching zombie.
ZOMBIELAND.srt 	ZOMBIELAND_DVS691 	01:16:10,00 --> 01:16:16,50 	a couple climb onto the roof and someone shoots them through the ceiling.
ZOOKEEPER.srt 	ZOOKEEPER_DVS191 	00:43:10,00 --> 00:43:14,50 	he pretends to shoot an arrow.
ZOOKEEPER.srt 	ZOOKEEPER_DVS240 	00:54:30,00 --> 00:54:39,50 	someone shoots his colleague an uncomfortable smile.
ZOOKEEPER.srt 	ZOOKEEPER_DVS347 	01:17:54,00 --> 01:18:14,50 	he shoots the gorilla a final glance then leaves.
