21_JUMP_STREET.srt 	21_JUMP_STREET_DVS134 	00:22:08,00 --> 00:22:14,50 	he drives toward someone who nimbly rolls over the hood and lands safely on the ground.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS99 	00:29:34,00 --> 00:29:40,50 	as someone drives away, he speeds off after her.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS129 	00:36:32,00 --> 00:36:38,50 	dressed in a chauffeur's uniform, someone turns forward and drives off.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS140 	00:37:19,00 --> 00:37:24,50 	now his red taurus sedan drives off.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS84 	00:14:13,00 --> 00:14:17,50 	his ex drives off.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS464 	01:21:59,00 --> 01:22:19,50 	his car halts and he scolds, drive you idiot.
THOR.srt 	THOR_DVS241 	00:32:29,00 --> 00:32:35,50 	in the desert, a red pickup truck drives up a dusty dirt road.
THOR.srt 	THOR_DVS267 	00:35:59,00 --> 00:36:05,50 	the truck drives forward, and the chain snaps taught.
THOR.srt 	THOR_DVS319 	00:46:38,00 --> 00:46:45,50 	someone holds someone back as someone and the other agents get into their vehicles and drive away.
THOR.srt 	THOR_DVS343 	00:51:28,00 --> 00:51:34,50 	smiling at someone, someone momentarily drives off the road.
THOR.srt 	THOR_DVS513 	01:23:02,00 --> 01:23:09,50 	someone leaps from a nearby rooftop and drives her double-bladed sword through the back of the destroyer's neck.
THOR.srt 	THOR_DVS641 	01:37:15,00 --> 01:37:21,50 	he leaps and drives the point of his spear into the floor just as someone rolls away.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS643 	01:11:20,00 --> 01:11:25,50 	someone jerks her head and drives off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS100 	00:16:19,00 --> 00:16:28,50 	they drive past a plain-gray, two-story home with red trim.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS104 	00:17:04,00 --> 00:17:09,50 	they drive up a rustic tree-lined road.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS141 	00:24:50,00 --> 00:24:57,50 	as he drives by, someone stares at a bank of windows.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS685 	01:34:21,00 --> 01:34:28,50 	as she drives off, our view rises to glimpse the reception tent across the pond.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS703 	01:35:22,00 --> 01:35:28,50 	driving again, she violently crosses another wedding off her list.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS519 	00:47:46,00 --> 00:47:52,50 	the water inside ripples, driving the fish off.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS60 	00:08:08,00 --> 00:08:16,50 	driving a red mini cooper, she pulls to a stop, takes out the cassette tape, and inserts it into a dashboard player.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS98 	00:14:17,00 --> 00:14:24,50 	she takes a dress off a hanger, puts on a coat, then drives in her car.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS99 	00:14:33,00 --> 00:14:40,50 	someone stares at a chili's restaurant as she drives past, then at a staples store.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS100 	00:14:47,00 --> 00:14:55,50 	she stares at a combination kfc, pizza hut, and taco bell, and shakes her head as she drives past.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS348 	01:07:21,00 --> 01:07:28,50 	she drives off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS192 	00:19:27,00 --> 00:19:32,50 	later, they drive down the cleared lane.
ZOMBIELAND.srt 	ZOMBIELAND_DVS251 	00:26:38,00 --> 00:26:45,50 	later, someone and someone watch the sisters drive off in the escalade.
ZOMBIELAND.srt 	ZOMBIELAND_DVS312 	00:35:15,00 --> 00:35:20,50 	the manager waves and she drives off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS329 	00:37:18,00 --> 00:37:23,50 	then grips the wheel and drives off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS354 	00:40:40,00 --> 00:40:46,50 	someone takes the wheel and motors off, driving away from the pickup.
ZOMBIELAND.srt 	ZOMBIELAND_DVS392 	00:44:37,00 --> 00:44:43,50 	later, the hummer drives away.
ZOMBIELAND.srt 	ZOMBIELAND_DVS405 	00:46:12,00 --> 00:46:19,50 	the thoughtful young man contemplatively cocks his head as they drive through an industrial area.
ZOMBIELAND.srt 	ZOMBIELAND_DVS407 	00:46:38,00 --> 00:46:46,50 	as zombies stagger nearby, they drive up to gromlin's chinese theater.
ZOMBIELAND.srt 	ZOMBIELAND_DVS544 	01:03:58,00 --> 01:04:03,50 	both girls smile as they drive forward.
ZOMBIELAND.srt 	ZOMBIELAND_DVS628 	01:11:34,00 --> 01:11:41,50 	he breaks, backs over the already crushed bodies, then drives forward over them.
ZOMBIELAND.srt 	ZOMBIELAND_DVS759 	01:21:21,00 --> 01:21:27,50 	he rushes outside as someone drives the suv away.
ZOMBIELAND.srt 	ZOMBIELAND_DVS763 	01:22:27,00 --> 01:22:32,50 	as they drive off, someone takes out a zombie.
ZOOKEEPER.srt 	ZOOKEEPER_DVS22 	00:03:23,00 --> 00:03:30,50 	now, someone drives a golf cart with the tire in back.
ZOOKEEPER.srt 	ZOOKEEPER_DVS409 	01:29:49,00 --> 01:29:53,50 	as it drives away.
