21_JUMP_STREET.srt 	21_JUMP_STREET_DVS414 	01:10:03,00 --> 01:10:09,50 	someone steps on the brake and the car stops short again.
SPARKLE_2012.srt 	SPARKLE_2012_DVS543 	01:29:39,00 --> 01:29:44,50 	she smiles to herself and turns the page, stopping.
SUPER_8.srt 	SUPER_8_DVS115 	00:18:22,00 --> 00:18:28,50 	he stops as a piece of flaming wreckage marked explosive lands in front of him.
SUPER_8.srt 	SUPER_8_DVS406 	01:13:09,00 --> 01:13:15,50 	he drives along a dirt road beside a pasture then stops.
SUPER_8.srt 	SUPER_8_DVS510 	01:26:38,00 --> 01:26:45,50 	as they run through a back gate they stop as an exploding tank tumbles across the ground toward them.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS532 	01:15:12,00 --> 01:15:17,50 	luxury cars stop at the palace gate.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS655 	01:28:47,00 --> 01:28:53,50 	someone and the inspectors surround the car as it stops.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS689 	01:32:22,00 --> 01:32:29,50 	someone swings back, but someone stops the blow and kicks someone to the ground.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS21 	00:03:59,00 --> 00:04:19,50 	he stops and gazes ahead.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS56 	00:13:09,00 --> 00:13:17,50 	now, leafless trees silhouette the dusky horizon where someone stops and gazes off.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS243 	00:46:53,00 --> 00:46:57,50 	he stops walking.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS273 	00:52:28,00 --> 00:52:36,50 	as his english teacher collects the students papers, she stops at his desk and touches his shoulder.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS64 	00:12:18,00 --> 00:12:40,50 	stopping at the storefront's glass door, he unlocks it and heads inside.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS280 	00:52:21,00 --> 00:52:40,50 	someone stops inches behind her then scoots forward and bumps the pedicab again.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS504 	01:31:08,00 --> 01:31:15,50 	they stop at a neon restroom sign and she heads inside.
THE_CALL.srt 	THE_CALL_DVS302 	00:25:46,00 --> 00:25:51,50 	someone stops her trainees behind brooke's station.
THE_CALL.srt 	THE_CALL_DVS481 	00:37:08,00 --> 00:37:13,50 	the man stopped next to him lowers his window.
THE_CALL.srt 	THE_CALL_DVS523 	00:40:28,00 --> 00:40:35,50 	he stops and glances back, then continues forward as the kidnapper looks up from the trunk.
THE_CALL.srt 	THE_CALL_DVS877 	01:07:11,00 --> 01:07:18,50 	she stops the track and adjusts the audio levels, then replays the recording with her eyes closed.
THE_CALL.srt 	THE_CALL_DVS938 	01:12:13,00 --> 01:12:18,50 	she stops and furrows her brow.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS266 	00:42:10,00 --> 00:42:17,50 	someone the stops the car across from a pleasant mid-century home with a copper turtle on the gate post.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS384 	00:58:27,00 --> 00:58:32,50 	they all stop on the scenic overlook.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS494 	01:10:53,00 --> 01:11:00,50 	someone meanders down to the water's edge and stops a few feet from the woman.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS648 	01:32:50,00 --> 01:32:55,50 	then stops and gazes at the black and white images of his ancestors.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS314 	00:38:09,00 --> 00:38:15,50 	in hedestad a volvo stops beside someone as he trudges up a hill.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS437 	00:52:06,00 --> 00:52:12,50 	someone starts to move past his ward then stops in front of her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS653 	01:11:09,00 --> 01:11:20,50 	at the cottage he marches past his desk then stops and grabs the copy of someone's list of names, initials, and numbers from the wall.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS708 	01:18:12,00 --> 01:18:17,50 	then stops and switches on her taser.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS768 	01:28:28,00 --> 01:28:34,50 	stopping on one of him and his co-editor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS783 	01:30:17,00 --> 01:30:24,50 	now someone stops her motorcycle in a rental car company's parking lot.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS806 	01:32:38,00 --> 01:32:46,50 	his gaze stops on a picture showing the back of someone's head and the people across the street from her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS819 	01:33:44,00 --> 01:33:49,50 	someone stops the elevator.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS975 	01:47:25,00 --> 01:47:30,50 	she stops at an article featuring gottfried.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS981 	01:47:42,00 --> 01:47:48,50 	someone flips through another binder stopping at the typed heading.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1022 	01:50:10,00 --> 01:50:15,50 	he stops facing someone's now dimly lit home.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1125 	01:57:51,00 --> 01:57:55,50 	they stop at the wine case.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS54 	00:11:12,00 --> 00:11:22,50 	someone sighs as he sits at the bar, watching his mother turn down one man after another, until they stop approaching her altogether.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS116 	00:42:44,00 --> 00:42:51,50 	someone opens her mouth as if to say something else, but stops herself.
THE_SITTER.srt 	THE_SITTER_DVS76 	00:41:08,00 --> 00:41:13,50 	on his way out, someone stops short.
THE_SITTER.srt 	THE_SITTER_DVS109 	00:58:06,00 --> 00:58:10,50 	now someone stops rodrigo.
THE_VOW.srt 	THE_VOW_DVS694 	01:36:27,00 --> 01:36:33,50 	she stops and puts her hands in her coat pockets.
THE_WATCH.srt 	THE_WATCH_DVS74 	00:09:52,00 --> 00:09:58,50 	someone stops on the threshold, his eyes wide.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS100 	00:29:41,00 --> 00:29:52,50 	stopped at a red light, someone watches it in her rear view mirror as it slows and pulls up to her right side.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS422 	01:37:03,00 --> 01:37:12,50 	later, someone strolls down a street, stopping as he notices a for sale sign on a food truck's windshield.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS316 	00:58:08,00 --> 00:58:15,50 	an old dog wheezes on his couch as they stop and kiss.
THOR.srt 	THOR_DVS69 	00:08:17,00 --> 00:08:25,50 	stopping at the base of the throne's platform, the blonde man kneels and sets down his hammer and helmet.
THOR.srt 	THOR_DVS191 	00:25:13,00 --> 00:25:20,50 	the warriors stop at the edge of a cliff as one of the beast's clawed hands reaches up in front of them.
THOR.srt 	THOR_DVS534 	01:25:30,00 --> 01:25:37,50 	the destroyer kicks aside a car like a toy as someone stops a few feet away.
THOR.srt 	THOR_DVS677 	01:40:51,00 --> 01:40:57,50 	the gas clouds stop swirling and expand slightly.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS71 	00:09:10,00 --> 00:09:15,50 	she mouths the word "stop", then secretly goes through her purse behind the bed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS447 	00:47:29,00 --> 00:47:35,50 	someone stops organizing the cards and meets someone's gaze.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS546 	01:00:20,00 --> 01:00:25,50 	the lines stop right behind someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS694 	01:16:41,00 --> 01:16:46,50 	stopping short, he intercepts the puck.
TRUE_GRIT.srt 	TRUE_GRIT_DVS214 	00:46:20,00 --> 00:46:25,50 	surrounded by bare twisted trees, they stop.
TRUE_GRIT.srt 	TRUE_GRIT_DVS234 	00:48:40,00 --> 00:48:46,50 	the man stops with the body on the ground between him and someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS247 	00:50:51,00 --> 00:50:56,50 	the rider stops facing someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS287 	01:01:38,00 --> 01:01:45,50 	someone and someone watch the rider head along a track towards the cabin then stop.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS522 	01:10:17,00 --> 01:10:22,50 	a waitress stops at their table.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS552 	01:13:50,00 --> 01:13:55,50 	someone stops them.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS573 	01:16:05,00 --> 01:16:11,50 	he stops, turns the other way, then turns back again.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS352 	00:56:50,00 --> 00:56:56,50 	as they stop at an intersection, someone frowns.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS391 	01:02:06,00 --> 01:02:12,50 	they stop walking.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS719 	01:43:29,00 --> 01:43:36,50 	as someone starts to go, someone stops him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS721 	01:43:48,00 --> 01:43:54,50 	someone heads off, then stops to look back at the jubilant group.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS835 	01:57:19,00 --> 01:57:26,50 	he enters through a side door and stops a few feet from the table where someone had been.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS598 	01:21:16,00 --> 01:21:22,50 	someone stops halfway down a flight of stairs.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS599 	01:21:20,00 --> 01:21:26,50 	as he continues down, someone starts to speak, then stops herself.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS193 	00:14:49,00 --> 00:14:55,50 	someone uses the banker's watch to stop his arm, then makes him smack himself.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS707 	01:03:54,00 --> 01:04:00,50 	as the recruits race down a hall, soldiers stop them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS962 	01:28:50,00 --> 01:28:56,50 	now someone steps through a door and stops with a slight smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1274 	01:54:50,00 --> 01:55:00,50 	with the mutants behind him, someone raises a hand and the rockets stop in mid-air within a 100 feet of the shore.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1335 	02:01:38,00 --> 02:01:44,50 	someone pushes his wheelchair, then stops and faces him.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS33 	00:03:29,00 --> 00:03:34,50 	the computer begins processing the command then stops.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS102 	00:15:18,00 --> 00:15:23,50 	she stops and takes out her phone.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS297 	00:57:09,00 --> 00:57:14,50 	someone stops beside a brick building.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS321 	00:59:33,00 --> 00:59:38,50 	she stops to gaze at framed photographs hanging on the wall.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS351 	01:07:42,00 --> 01:07:49,50 	she stops and grabs a package of plain white burp cloths.
ZOMBIELAND.srt 	ZOMBIELAND_DVS94 	00:07:58,00 --> 00:08:07,50 	its snow plow clips another car as it barrels into the median and speeds past a line of vehicles stopped on the road.
ZOMBIELAND.srt 	ZOMBIELAND_DVS325 	00:36:41,00 --> 00:36:49,50 	someone stops then aims at him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS407 	00:46:38,00 --> 00:46:46,50 	a sign reads, stop contagion.
ZOMBIELAND.srt 	ZOMBIELAND_DVS475 	00:55:33,00 --> 00:55:37,50 	someone stops to reload.
ZOMBIELAND.srt 	ZOMBIELAND_DVS604 	01:09:34,00 --> 01:09:39,50 	they stop halfway and launch again.
ZOMBIELAND.srt 	ZOMBIELAND_DVS618 	01:10:45,00 --> 01:10:49,50 	the seats stop moving.
ZOMBIELAND.srt 	ZOMBIELAND_DVS634 	01:12:01,00 --> 01:12:07,50 	on the ground, someone stops the suv by the lake.
ZOMBIELAND.srt 	ZOMBIELAND_DVS646 	01:13:04,00 --> 01:13:09,50 	someone stops running.
ZOMBIELAND.srt 	ZOMBIELAND_DVS741 	01:20:00,00 --> 01:20:05,50 	she stops abruptly, her eyes narrowing.
ZOMBIELAND.srt 	ZOMBIELAND_DVS760 	01:21:25,00 --> 01:21:30,50 	as the vehicle stops, someone stares desperately.
ZOMBIELAND.srt 	ZOMBIELAND_DVS762 	01:22:14,00 --> 01:22:21,50 	as someone and someone head to the suv, it pulls away then stops.
ZOOKEEPER.srt 	ZOOKEEPER_DVS395 	01:28:17,00 --> 01:28:21,50 	the van stops short.
