21_JUMP_STREET.srt 	21_JUMP_STREET_DVS447 	01:13:52,00 --> 01:13:58,50 	he overtakes the rig and falls off his bike.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS478 	01:32:25,00 --> 01:32:31,50 	someone falls backward onto the bed, the phone clutched to her chest.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS62 	00:23:39,00 --> 00:23:44,50 	someone gives her a gentle shove, and she falls over.
KARATE_KID.srt 	KARATE_KID_DVS221 	00:19:10,00 --> 00:19:17,50 	crouching over his fallen opponent, he delivers a brutal punch to someone's left eye.
KARATE_KID.srt 	KARATE_KID_DVS490 	00:44:12,00 --> 00:44:20,50 	someone faces the fallen american boy who looks up, his face grimacing helplessly.
KARATE_KID.srt 	KARATE_KID_DVS502 	00:44:48,00 --> 00:45:01,50 	as someone falls, one of the other boys attacks.
KARATE_KID.srt 	KARATE_KID_DVS557 	00:50:27,00 --> 00:50:35,50 	he crouches over his fallen opponent, draws back his fist, and hesitates.
KARATE_KID.srt 	KARATE_KID_DVS1060 	01:25:53,00 --> 01:26:10,50 	in his room, he poses at a mirror, and falls over.
KARATE_KID.srt 	KARATE_KID_DVS1423 	01:54:47,00 --> 01:55:00,50 	the boy falls flat and someone sneers.
KARATE_KID.srt 	KARATE_KID_DVS1427 	01:55:26,00 --> 01:55:42,50 	the fighting someone falls.
KARATE_KID.srt 	KARATE_KID_DVS1444 	01:57:18,00 --> 01:57:36,50 	snarling, he races toward his fallen opponent.
KARATE_KID.srt 	KARATE_KID_DVS1452 	01:58:20,00 --> 01:58:40,50 	as his opponent falls on his back, the bully drops on top of him, slamming his elbow into his sternum.
KARATE_KID.srt 	KARATE_KID_DVS1588 	02:09:22,00 --> 02:09:33,50 	someone falls, baring his gritted teeth.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS111 	00:26:56,00 --> 00:27:07,50 	smiling wide, someone shakes her shoulders then falls sideways and sticks one leg in the air.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS147 	00:41:14,00 --> 00:41:19,50 	falling asleep, dreaming of cotton candy clouds.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS363 	01:25:09,00 --> 01:25:14,50 	the stage curtain falls.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS41 	00:13:58,00 --> 00:14:02,50 	rocks fall from the ceiling.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS91 	00:29:48,00 --> 00:30:03,50 	someone's gaze falls on a large round object wrapped in leaves.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS140 	00:50:40,00 --> 00:50:44,50 	he falls over, frozen stiff.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS212 	01:15:29,00 --> 01:15:34,50 	they fall in line.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS292 	01:10:18,00 --> 01:10:25,50 	as she peers outside, falling
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS292 	00:38:10,00 --> 00:38:21,50 	falling again, someone slides into a barrier at the edge of the upper deck.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS331 	00:40:42,00 --> 00:40:47,50 	the boat tips and the cook falls off.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS442 	00:50:35,00 --> 00:50:42,50 	he falls back into the water, hanging by his knees from the life preserver.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS508 	00:56:12,00 --> 00:56:22,50 	someone ducks and the tiger nearly falls off the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS711 	01:14:13,00 --> 01:14:22,50 	he falls onto the canvas and the fish flops beside him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS865 	01:27:08,00 --> 01:27:14,50 	he falls forward and rolls off the canvas into the turbulent water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS956 	01:34:44,00 --> 01:34:50,50 	as he steps on to terraferma, his legs give out and he falls.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1009 	01:39:01,00 --> 01:39:08,50 	its head slumps over and it falls toward another sleeping meerkat.
MORNING_GLORY.srt 	MORNING_GLORY_DVS23 	00:03:14,00 --> 00:03:20,50 	a guy in the meeting has fallen asleep in front of his computer.
MORNING_GLORY.srt 	MORNING_GLORY_DVS31 	00:03:55,00 --> 00:03:59,50 	in the studio, someone has fallen asleep.
MORNING_GLORY.srt 	MORNING_GLORY_DVS236 	00:52:15,00 --> 00:52:20,50 	she falls asleep once more.
MORNING_GLORY.srt 	MORNING_GLORY_DVS263 	00:59:32,00 --> 00:59:37,50 	dusk falls over new york.
MORNING_GLORY.srt 	MORNING_GLORY_DVS355 	01:17:06,00 --> 01:17:12,50 	someone's fallen asleep on a couch.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS218 	00:31:31,00 --> 00:31:40,50 	as stinky's tail feathers rise and fall on nimrod's face, the bird tries to shake them away, but rolls off the bed.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS250 	00:36:08,00 --> 00:36:14,50 	someone falls back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS471 	00:56:31,00 --> 00:56:37,50 	falling back he pulls someone down with him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS634 	01:16:49,00 --> 01:17:07,50 	she gives him a nod, then strides toward the guard, swoons, and falls on her back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS691 	01:25:45,00 --> 01:25:50,50 	three penguins collide then fall over.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS12 	00:03:45,00 --> 00:03:50,50 	in a muddy yard a fallen sign reads - deep valley.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS70 	00:16:46,00 --> 00:16:50,50 	the jar falls over the edge.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS151 	00:34:02,00 --> 00:34:07,50 	as he stands to walk away, one of his feet slips into the hole and he falls flat.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS163 	00:36:59,00 --> 00:37:04,50 	the pane falls inward and shatters.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS232 	00:55:21,00 --> 00:55:28,50 	going after him someone falls over the balcony railing and drops six feet.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	the wounded minotaur straightens then falls on its back.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS135 	00:31:50,00 --> 00:31:59,50 	someone falls back and kicks him away.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS146 	00:34:03,00 --> 00:34:10,50 	he falls to his knees and she kicks him to the ground.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS212 	00:54:58,00 --> 00:55:11,50 	someone dives for cover and someone falls.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS241 	01:04:18,00 --> 01:04:27,50 	her final dart hits a janitor's thigh and he falls from a tall ladder.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS386 	01:35:29,00 --> 01:35:36,50 	the bolt falls from his hand.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS389 	01:36:17,00 --> 01:36:24,50 	the three companions fall to the floor as lightning zaps the safety barrier behind them.
PROMETHEUS.srt 	PROMETHEUS_DVS422 	00:42:49,00 --> 00:42:58,50 	as the atvs speed in, one hits a bump and the bagged head falls off.
PROMETHEUS.srt 	PROMETHEUS_DVS561 	01:02:43,00 --> 01:02:48,50 	someone falls back on his rear end.
PROMETHEUS.srt 	PROMETHEUS_DVS572 	01:04:08,00 --> 01:04:17,50 	someone falls face first into the black fluid.
PROMETHEUS.srt 	PROMETHEUS_DVS720 	01:16:56,00 --> 01:17:02,50 	as holloway's fiery body falls face first and lies still,
PROMETHEUS.srt 	PROMETHEUS_DVS740 	01:20:09,00 --> 01:20:16,50 	a tear falls from someone's eye and she shakes her head in confusion.
PROMETHEUS.srt 	PROMETHEUS_DVS750 	01:21:08,00 --> 01:21:14,50 	as she gets down from the table, she falls briefly, clutching her abdomen.
PROMETHEUS.srt 	PROMETHEUS_DVS809 	01:26:49,00 --> 01:26:56,50 	the mutant falls back and the guys run over him with the transport.
PROMETHEUS.srt 	PROMETHEUS_DVS936 	01:42:47,00 --> 01:42:51,50 	running for someone, someone jumps another gap, but falls short and grabs hold of the opposite ledge.
PROMETHEUS.srt 	PROMETHEUS_DVS970 	01:47:03,00 --> 01:47:08,50 	someone trips and falls face down.
PROMETHEUS.srt 	PROMETHEUS_DVS978 	01:47:38,00 --> 01:47:48,50 	she falls on her rear, scurries back toward some jagged rocks, then watches one end of the ship come down with no chance of escape.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS480 	01:30:57,00 --> 01:31:10,50 	as someone's car drives off, someone finds his fallen partner.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS673 	02:06:23,00 --> 02:06:44,50 	someone falls face down, eyes staring off as blood streams from his ruptured cheek.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS675 	02:06:52,00 --> 02:07:02,50 	the agent narrows his eye, glances at the fallen man, and withdraws, revealing someone's lifeless stare.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS154 	00:38:33,00 --> 00:38:41,50 	someone and his comrade join the crowd and see the queen holding the fallen monarch's battle crown.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS257 	00:59:29,00 --> 00:59:53,50 	someone crouches, tugging it off over his head, then falls on her rear when it finally drops to the floor.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS317 	01:16:32,00 --> 01:16:43,50 	turning on the spot as rain begins to fall upon the fields.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS336 	01:22:32,00 --> 01:22:49,50 	the spotless dagger falls to the floor.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS433 	01:47:27,00 --> 01:47:50,50 	on the ground, a drunk frenchman playing a drum falls over.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS448 	01:51:27,00 --> 01:51:48,50 	someone purses her lips as she stares at the fallen man's weapon.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS503 	02:05:50,00 --> 02:06:03,50 	as he raises her visor, a drop of his blood falls on her pale skin.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS503 	02:05:50,00 --> 02:06:03,50 	someone pulls her closer and her helmet falls off revealing a leather
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS306 	00:48:54,00 --> 00:49:00,50 	someone mimes shooting someone and he falls to the sand.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS348 	00:56:50,00 --> 00:56:55,50 	leaving the table, someone falls down drunkenly.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS583 	01:27:24,00 --> 01:27:30,50 	someone lifts his head and metal type bars fall back into place.
SALT.srt 	SALT_DVS375 	01:06:57,00 --> 01:07:12,50 	with gun, the man convulses then falls limp.
SALT.srt 	SALT_DVS414 	01:12:36,00 --> 01:12:43,50 	she grabs a set of keys and a gun off a fallen agent then hurries upstairs.
SALT.srt 	SALT_DVS453 	01:18:06,00 --> 01:18:12,50 	the first agent and he falls.
SANCTUM.srt 	SANCTUM_DVS70 	00:15:39,00 --> 00:15:44,50 	he steps off of the edge and falls face down.
SANCTUM.srt 	SANCTUM_DVS74 	00:16:08,00 --> 00:16:15,50 	he dives over the edge with open arms and falls into the dark abyss.
SANCTUM.srt 	SANCTUM_DVS399 	01:18:00,00 --> 01:18:08,50 	he scans the submerged cave, then takes off his bag and lets it fall to the ground.
SANCTUM.srt 	SANCTUM_DVS432 	01:22:30,00 --> 01:22:40,50 	he blinks against the falling water, his chest heaving.
SANCTUM.srt 	SANCTUM_DVS467 	01:26:50,00 --> 01:26:56,50 	rain falls on someone's face as he looks up.
SANCTUM.srt 	SANCTUM_DVS470 	01:27:16,00 --> 01:27:31,50 	as they fall into the cavern.
SANCTUM.srt 	SANCTUM_DVS530 	01:38:19,00 --> 01:38:26,50 	he withdraws his hand from his father's, letting it fall back into the murk.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS941 	01:01:11,00 --> 01:01:16,50 	at dawn, the snow falls heavily on the camp.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS969 	01:03:05,00 --> 01:03:11,50 	beyond them, snow continues to fall on the wooded campsite.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS985 	01:04:16,00 --> 01:04:21,50 	her melancholy face falling out of view.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1338 	01:31:57,00 --> 01:32:01,50 	her gaze falls on something else in the locker and she tilts her head for a better look.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS49 	00:10:35,00 --> 00:10:40,50 	the doll falls to the floor.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS65 	00:13:08,00 --> 00:13:13,50 	a jar falls off.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS69 	00:13:28,00 --> 00:13:34,50 	behind someone falls toward the door, cradling the someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS105 	00:21:31,00 --> 00:21:36,50 	she falls off.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS218 	00:42:01,00 --> 00:42:06,50 	it falls to the ground.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS409 	01:25:30,00 --> 01:25:37,50 	he shuts his eyes, spreads his arms wide, and falls backward.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS446 	01:34:58,00 --> 01:35:03,50 	someone rushes forward and cradles her fallen form.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS468 	01:39:04,00 --> 01:39:15,50 	he finds someone hunched over the fallen sorcerer.
SOUL_SURFER.srt 	SOUL_SURFER_DVS254 	01:15:48,00 --> 01:16:01,50 	as someone stares after him, the little boy hurries towards a dune covered with fallen palm fronds.
SOUL_SURFER.srt 	SOUL_SURFER_DVS291 	01:23:00,00 --> 01:23:05,50 	someone falls.
SPARKLE_2012.srt 	SPARKLE_2012_DVS432 	01:11:19,00 --> 01:11:25,50 	in her stocking feet, she slips on the floor and falls.
SPARKLE_2012.srt 	SPARKLE_2012_DVS435 	01:11:26,00 --> 01:11:33,50 	she wriggles free, and dashes into another room, where she falls face down on a banquette.
SPARKLE_2012.srt 	SPARKLE_2012_DVS482 	01:18:30,00 --> 01:18:34,50 	he falls face down on the carpet.
SUPER_8.srt 	SUPER_8_DVS46 	00:07:01,00 --> 00:07:08,50 	outside, dusk falls as someone pedals his bicycle across a neighborhood street
SUPER_8.srt 	SUPER_8_DVS90 	00:14:41,00 --> 00:14:47,50 	the boys' mouths fall open as they watch nearby.
SUPER_8.srt 	SUPER_8_DVS146 	00:22:49,00 --> 00:22:56,50 	as someone touches the man his arm falls and a piece of paper drops from his hand.
SUPER_8.srt 	SUPER_8_DVS263 	00:44:42,00 --> 00:44:47,50 	he turns again as something falls beyond the tree line.
SUPER_8.srt 	SUPER_8_DVS317 	00:56:56,00 --> 00:57:00,50 	someone falls motionless.
SUPER_8.srt 	SUPER_8_DVS533 	01:29:20,00 --> 01:29:27,50 	the sparkler falls into the deep pit and lands on the bottom about 50 yards below.
SUPER_8.srt 	SUPER_8_DVS607 	01:38:56,00 --> 01:39:02,50 	the soldier rises then let's go of his gun and falls to the ground.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS135 	00:20:36,00 --> 00:20:41,50 	someone rolls the man over, but he falls still.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS138 	00:21:40,00 --> 00:21:45,50 	one inspector trips over the cat and falls downstairs.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS198 	00:29:07,00 --> 00:29:12,50 	the board falls and hits him in the head.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS233 	00:36:04,00 --> 00:36:12,50 	as snowy bites into the sandwich, someone falls.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS262 	00:39:13,00 --> 00:39:18,50 	someone releases a rope and the lifeboat falls.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS274 	00:40:06,00 --> 00:40:12,50 	he slips and falls into the lifeboat causing a rope to snap.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS321 	00:50:05,00 --> 00:50:12,50 	losing his balance, someone falls into the water.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS346 	00:53:01,00 --> 00:53:08,50 	snowy drops to the floor of the plane as it rises steeply upwards, then stalls and falls again.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS388 	00:57:14,00 --> 00:57:18,50 	someone falls.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS427 	01:02:07,00 --> 01:02:14,50 	someone staggers forward, wipes his own face, then falls backward.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS428 	01:02:25,00 --> 01:02:31,50 	night falls over the vast desert.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS449 	01:05:15,00 --> 01:05:22,50 	someone tears of his cape and drapes it over sir someone, who falls onto his back.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS450 	01:05:20,00 --> 01:05:27,50 	a spar falls toward sir someone, which turns into a ceiling fan falling onto someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS450 	01:05:20,00 --> 01:05:27,50 	a spar falls toward sir someone, which turns into a ceiling fan falling onto someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS475 	01:09:01,00 --> 01:09:08,50 	sir someone shoves him then cuts lose another lantern, which falls onto the trail of powder.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS479 	01:09:14,00 --> 01:09:23,50 	it falls onto the gunpowder.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS481 	01:09:29,00 --> 01:09:34,50 	the pirate drops to his knees then falls over.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS493 	01:10:59,00 --> 01:11:05,50 	he holds open his hat, which fills up with the falling treasure.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS562 	01:18:16,00 --> 01:18:25,50 	he falls.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS611 	01:22:34,00 --> 01:22:40,50 	someone falls onto the front of someone's motorcycle.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS626 	01:23:42,00 --> 01:23:57,50 	someone drives out of the falling building up a narrow street, then smashes through a low wall.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS628 	01:23:58,00 --> 01:24:04,50 	he reaches for the falcon but misses, then falls into a building.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS641 	01:25:14,00 --> 01:25:20,50 	the building stops but the tank falls into the water.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS661 	01:29:27,00 --> 01:29:38,50 	someone falls onto a passing truck.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS674 	01:30:46,00 --> 01:30:51,50 	several tires fall over someone, pinning his arms to his sides.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS168 	00:34:30,00 --> 00:34:37,50 	a string of saliva falls from his mouth as he sits up and catches his breath.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS186 	00:36:42,00 --> 00:36:48,50 	he sees her just before his eyes fall shut.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS326 	01:03:28,00 --> 01:03:33,50 	someone falls into step with him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS224 	00:44:34,00 --> 00:44:43,50 	her fingers fall short.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS444 	01:22:32,00 --> 01:22:41,50 	he breaks off the top and falls back onto the bed.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS518 	01:33:27,00 --> 01:33:33,50 	he falls.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS542 	01:37:59,00 --> 01:38:12,50 	blood stains the freight elevator and they glimpse a fallen man's feet.
THE_CALL.srt 	THE_CALL_DVS270 	00:22:59,00 --> 00:23:04,50 	her body falls limp and he drags her to the sedan.
THE_CALL.srt 	THE_CALL_DVS542 	00:41:49,00 --> 00:41:53,50 	they fall from his trembling hand.
THE_CALL.srt 	THE_CALL_DVS678 	00:52:41,00 --> 00:52:45,50 	the kidnapper's mouth falls open.
THE_CALL.srt 	THE_CALL_DVS859 	01:05:18,00 --> 01:05:24,50 	he falls back and she frees her other hand.
THE_CALL.srt 	THE_CALL_DVS1027 	01:18:22,00 --> 01:18:30,50 	someone's mouth falls open as she sees the gory scalp underneath the long blond hair in his hands.
THE_CALL.srt 	THE_CALL_DVS1029 	01:18:32,00 --> 01:18:38,50 	someone falls back on the bed with the scalp on top of his face.
THE_CALL.srt 	THE_CALL_DVS1128 	01:25:01,00 --> 01:25:12,50 	someone delivers a high kick to his back and he falls halfway through the hatch.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS114 	00:19:43,00 --> 00:19:48,50 	two teens flee, one falls.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS314 	00:47:21,00 --> 00:47:28,50 	her comatose mother's chest rises and falls under her tracheostomy tube.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS253 	00:29:42,00 --> 00:29:47,50 	under falling snow they cross the front yard.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS343 	00:41:43,00 --> 00:41:48,50 	he falls to the escalator's gliding steps.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS462 	00:53:43,00 --> 00:53:51,50 	someone lifts the back of her shirt over her head and lets it fall under her chin.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS574 	01:03:48,00 --> 01:03:53,50 	someone topples falling face first on the floor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1089 	01:54:05,00 --> 01:54:09,50 	running toward the steps, someone loses his footing and falls.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1111 	01:56:28,00 --> 01:56:35,50 	someone's gaze falls on a rifle bag standing propped up near someone's jacket.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1293 	02:17:13,00 --> 02:17:18,50 	she strikes him with an oar and he falls off the docks.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1424 	02:32:50,00 --> 02:32:59,50 	exterior lamps on buildings catch falling flakes of snow in their pale shafts of light as they drift to the ground.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS125 	00:46:49,00 --> 00:46:56,50 	people at the other tables turn to look and someone's face falls.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS219 	01:12:57,00 --> 01:13:02,50 	someone's face falls and she looks down.
THE_VOW.srt 	THE_VOW_DVS700 	01:37:40,00 --> 01:37:46,50 	she nods then lifts her eyes to the falling snow.
THE_WATCH.srt 	THE_WATCH_DVS42 	00:05:36,00 --> 00:05:40,50 	an item falls from a shelf.
THE_WATCH.srt 	THE_WATCH_DVS59 	00:06:58,00 --> 00:07:05,50 	he falls to the floor, his blood accenting the window's emblazoned words, join the club.
THE_WATCH.srt 	THE_WATCH_DVS178 	00:32:43,00 --> 00:32:48,50 	behind him, a trash can falls over.
THE_WATCH.srt 	THE_WATCH_DVS281 	00:51:19,00 --> 00:51:24,50 	it falls and snaps its neck.
THE_WATCH.srt 	THE_WATCH_DVS363 	01:03:44,00 --> 01:03:50,50 	someone startles them from behind and they fall into the bushes.
THE_WATCH.srt 	THE_WATCH_DVS385 	01:08:20,00 --> 01:08:24,50 	someone falls over.
THE_WATCH.srt 	THE_WATCH_DVS459 	01:22:44,00 --> 01:22:52,50 	the fat man falls, revealing an alien.
THE_WATCH.srt 	THE_WATCH_DVS494 	01:28:00,00 --> 01:28:07,50 	the last of them falls and someone enters, peering over the barrel of a shotgun.
THE_WATCH.srt 	THE_WATCH_DVS499 	01:28:35,00 --> 01:28:41,50 	someone collapses to his knees, then falls face down on the floor.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS217 	00:54:17,00 --> 00:54:26,50 	he hangs on it, pulling with his full weight, then falls to the floor.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS18 	00:02:51,00 --> 00:03:00,50 	as enemy fire, takes his captive out, someone dives behind the fallen body and shoots.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS67 	00:10:59,00 --> 00:11:04,50 	he falls over.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS237 	00:43:23,00 --> 00:43:37,50 	as someone reaches the dancer stage, someone knocks him down and falls away.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS324 	00:59:04,00 --> 00:59:10,50 	as he falls unconscious, someone returns.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS468 	01:22:42,00 --> 01:22:54,50 	the jeep does a tight skidding 180, someone nearly falls out but someone pulls him back in.
THOR.srt 	THOR_DVS123 	00:18:03,00 --> 00:18:08,50 	a light snow falls.
THOR.srt 	THOR_DVS130 	00:18:56,00 --> 00:19:05,50 	someone pulls his fur coat tighter around himself as fierce winds blow the falling snow nearly horizontal.
THOR.srt 	THOR_DVS187 	00:24:51,00 --> 00:24:57,50 	the beast swipes at someone, but falls backward into a widening phisher.
THOR.srt 	THOR_DVS226 	00:30:28,00 --> 00:30:33,50 	he rolls onto his back and falls still.
THOR.srt 	THOR_DVS230 	00:31:08,00 --> 00:31:12,50 	he falls backward.
THOR.srt 	THOR_DVS259 	00:35:28,00 --> 00:35:32,50 	someone falls motionless.
THOR.srt 	THOR_DVS293 	00:41:45,00 --> 00:41:51,50 	collapsing to the floor, someone reaches up toward someone then falls motionless.
